scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Baroda BNP Paribas Equity Savings Fund - Direct Plan - IDCW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,0.4,2.102,1.373,0.193,0.483,0.576,-2.248,-5.072,5.645,2.235,2.376,3.25,1.538,0.446,0.976,1.932,1.378,0.085,0.509,0.422,0.336,0.838,0.582,0.992,1.717,0.723,0.718,-0.634,1.116,-0.149,-1.414,-3.955,-1.493,-1.243,-1.094,0.432,3.549,1.884,0.794
Baroda BNP Paribas Equity Savings Fund - Regular Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,0.2,1.904,1.377,0.883,0.388,0.483,-2.359,-5.202,5.589,2.157,2.303,3.189,1.464,0.361,0.898,1.868,1.223,0.827,0.431,0.344,0.257,0.769,0.508,0.843,1.671,0.575,0.654,-0.731,0.981,-0.081,-1.533,2.111,-1.574,-1.334,-1.188,0.56,3.076,1.754,1.106
Baroda BNP Paribas Equity Savings Fund - Regular Plan - IDCW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.204,1.377,0.194,0.388,0.58,0.481,-4.046,4.573,1.569,2.015,3.189,1.281,1.134,0.988,1.601,1.223,-0.259,0.345,0.258,0.342,0.854,0.508,0.843,1.671,0.74,0.245,-0.893,0.654,-0.565,-1.776,-4.098,-1.574,-1.335,-1.187,0.398,2.93,1.712,0.805
Baroda BNP Paribas Money Market Fund - Regular Plan - Monthly IDCW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.155,-0.236,-0.241,0.1,0.545,-0.387,-0.088,-0.191,-0.123,-0.03,0.049,-0.036,0.032,-0.071,-0.03,0.046,-0.076,-0.02,0.011,-0.018,0.005,-0.033,0.027,-0.016,0.012,-0.021,-0.008,0.292,-0.094,0.032,0.032,-0.022,0.025,0.159,-0.479
Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.499,-0.197,10.97,5.472,2.008,6.399,1.234,-0.609,5.227,3.725,5.141,5.371,4.216,4.106,-3.422,3.844,-2.286,-6.257,6.839,-4.764,-4.701,-3.774,1.82,20.683,4.548,1.386
Baroda BNP Paribas Large and Mid Cap Fund-Direct Plan-IDCW Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.499,-0.197,10.97,5.472,2.008,6.399,1.234,-0.609,5.227,3.725,5.141,5.371,4.216,4.106,-3.422,3.844,-2.286,-6.257,6.839,-4.764,-4.701,-3.774,1.82,20.683,4.548,1.386
Baroda BNP Paribas Large and Mid Cap Fund-Regular Plan-Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299,-0.296,10.816,5.324,1.853,6.286,0.934,-0.694,5.062,3.632,4.936,5.196,4.105,3.943,-3.497,3.747,-2.4,-6.359,6.731,-4.863,-4.819,-3.896,1.684,20.545,4.533,1.287
Baroda BNP Paribas Large and Mid Cap Fund-Regular plan-IDCW Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299,-0.296,10.816,5.324,1.853,6.286,0.934,-0.694,5.062,3.632,4.936,5.196,4.105,3.943,-3.497,3.747,-2.4,-6.359,0.349,-4.863,-4.819,-3.896,1.394,19.328,4.396,1.098
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,-0.647,-0.184,0.711,0.605,0.415,0.182,0.704,0.611,0.247,-0.19,0.776,-0.253,-0.707,0.584,0.035,-1.028,-1.527,-0.124,0.023,0.414,0.643,0.124
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,-0.647,-0.184,0.711,0.605,0.415,0.182,0.704,0.611,0.247,-0.19,0.776,0.132,-0.322,0.972,0.422,-0.64,-1.137,0.273,0.166,0.314,0.56,1.027
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,-0.647,-0.184,0.711,0.605,0.415,-0.804,0.704,0.611,-0.928,-0.19,0.776,-0.951,-0.322,0.972,-0.863,-0.641,-1.137,0.274,-0.072,0.497,0.705,-0.354
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211,-0.685,-0.218,0.674,0.577,0.383,0.148,0.671,0.576,0.212,-0.224,0.741,0.098,-0.354,0.941,0.389,-0.669,-1.17,0.24,0.134,0.314,0.56,0.829
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211,-0.685,-0.218,0.674,0.577,0.383,0.148,0.671,0.576,0.212,-0.224,0.741,-0.192,-0.644,0.65,0.001,-1.056,-1.562,0.241,0.027,0.412,0.642,0.146
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211,-0.685,-0.218,0.674,0.577,0.383,-0.839,0.671,0.576,-0.868,-0.224,0.741,-0.888,-0.354,0.941,0.389,-0.669,-1.17,0.239,-0.027,0.452,0.673,-0.139
Baroda BNP Paribas Business Cycle Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.898,2.014,-4.245,3.402,-0.591,-4.851,5.598,-3.655,-4.638,-3.714,-1.158,13.882,3.726,-1.077
Baroda BNP Paribas Business Cycle Fund - Direct Plan - IDCW Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.898,2.014,-4.245,3.402,-0.591,-4.851,5.598,-3.655,-4.638,-3.714,-1.158,13.882,3.726,-1.077
Baroda BNP Paribas Business Cycle Fund - Regular Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.899,1.915,-4.451,3.209,-0.693,-5.085,5.579,-3.791,-4.79,-3.87,-1.288,14.196,3.768,-1.184
Baroda BNP Paribas Business Cycle Fund - Regular Plan - IDCW Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.899,1.915,-4.451,3.209,-0.693,-5.085,5.579,-3.791,-4.79,-3.87,-1.288,14.196,3.768,-1.184
