scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Baroda BNP Paribas Short Duration Fund - Regular Plan - Growth Option,1.026,0.553,0.701,0.562,0.572,0.645,0.699,0.694,0.398,0.466,0.357,0.266,0.149,0.457,1.058,0.146,0.193,0.519,0.823,0.503,0.138,0.487,0.983,0.861,0.499,0.572,0.984,0.11,1.257,0.408,1.289,0.656,0.184,1.025,0.68,0.288,0.695,0.914,0.611,-0.905,0.692,1.593,1.04,0.311,0.451,0.718,0.453,0.326,-0.202,0.017,0.724,0.432,0.395,0.094,0.48,0.587,0.176,0.088,0.349,0.197,0.103,0.44,0.398,-0.311,-0.945,0.362,0.477,0.184,0.429,3.852
Baroda BNP Paribas Short Duration Fund - Regular Plan - Monthly IDCW Option,0.329,-0.053,0.701,0.562,0.005,0.645,0.197,0.088,-0.299,-0.19,-0.18,0.266,-0.475,0.077,0.101,0.146,-0.001,-0.102,0.055,-0.112,0.03,-0.11,0.15,-0.173,-0.068,0.073,0.186,-0.433,0.401,0.406,-0.09,0.146,-0.419,0.467,0.04,-0.274,-0.144,0.244,0.089,-1.49,0.139,1.226,-0.107,-0.436,-0.113,0.2,-0.063,0.144,-0.634,-0.338,0.721,0.432,-0.183,-0.393,0.087,0.451,0.176,-0.293,-0.703,-0.175,-0.858,0.049,0.398,-0.311,-0.945,0.362,-0.006,0.176,0.419,-0.05
Baroda BNP Paribas Credit Risk Fund -Direct- Monthly IDCW,0.583,-0.256,1.099,0.635,0.362,0.909,0.464,0.224,-0.206,-0.036,-0.217,-0.326,-0.443,-0.261,0.78,-0.264,-0.487,-0.046,0.266,-0.137,-0.648,-0.197,0.305,0.295,-0.508,0.014,0.426,-0.369,-0.313,-2.297,0.089,-0.628,-0.553,0.089,-0.61,-0.389,0.304,0.348,-3.565,-2.366,-3.518,1.895,1.699,0.89,1.703,1.201,0.802,0.797,0.682,0.85,4.411,0.645,0.442,0.163,0.547,1.54,7.993,0.417,0.385,0.354,0.34,0.873,0.387,0.012,-0.518,0.344,0.264,2.176,1.475,0.62
Baroda BNP Paribas Credit Risk Fund -Direct- Quarterly IDCW,1.214,0.371,-0.797,0.635,0.989,0.909,1.085,0.845,-1.448,0.583,0.4,-1.569,0.176,0.363,-0.49,-0.263,0.136,0.581,-0.999,0.489,-1.91,0.433,0.935,-0.97,0.116,0.645,-1.117,0.257,0.316,-3.027,0.735,0.016,0.094,-0.191,0.04,-0.2,0.961,1.001,-2.913,-1.693,-3.519,1.403,1.698,0.89,1.228,1.2,0.803,-0.123,0.682,0.85,3.473,0.646,0.442,-0.699,0.547,1.539,5.989,0.417,0.385,-1.316,0.341,0.872,-0.887,0.012,-0.517,-0.948,0.184,1.865,1.366,0.467
Baroda BNP Paribas Credit Risk Fund -Direct-Growth Option,1.214,0.372,1.099,0.635,0.989,0.91,1.085,0.845,0.411,0.583,0.401,0.294,0.176,0.362,1.404,-0.263,0.136,0.581,0.893,0.489,-0.022,0.432,0.936,0.924,0.115,0.645,1.056,0.258,0.316,-1.668,0.735,0.015,0.094,0.741,0.04,0.263,0.961,1.001,-2.913,-1.693,-3.519,1.896,1.698,0.889,1.702,1.2,0.803,0.795,0.683,0.85,4.411,0.646,0.442,0.163,0.548,1.539,7.993,0.417,0.385,0.354,0.341,0.873,0.388,0.012,-0.518,0.344,0.609,1.887,1.374,1.535
Baroda BNP Paribas Credit Risk Fund -Regular-Growth Option,1.099,0.259,0.979,0.555,0.889,0.812,0.979,0.733,0.316,0.485,0.319,0.216,0.088,0.283,1.327,-0.313,0.066,0.515,0.819,0.407,-0.099,0.349,0.859,0.852,0.036,0.574,0.99,0.201,0.255,-1.738,0.656,-0.058,0.023,0.659,-0.034,0.2,0.898,0.948,-2.973,-1.749,-3.576,1.835,1.637,0.832,1.643,1.144,0.745,0.733,0.62,0.796,4.35,0.598,0.385,0.113,0.498,1.486,7.928,0.354,0.324,0.291,0.278,0.81,0.324,-0.04,-0.579,0.277,0.538,1.884,1.373,1.357
Baroda BNP Paribas Credit Risk Fund -Regular-Monthly IDCW,0.449,-0.386,0.979,0.554,0.243,0.812,0.335,0.092,-0.325,-0.157,-0.325,-0.43,-0.557,-0.368,0.675,-0.314,-0.587,-0.143,0.161,-0.249,-0.757,-0.313,0.194,0.189,-0.623,-0.092,0.323,-0.463,-0.412,-2.406,-0.029,-0.743,-0.667,-0.036,-0.034,0.2,0.205,0.258,-2.973,-1.749,-3.576,1.836,1.637,0.832,1.642,1.145,0.746,0.733,0.62,0.795,3.673,-0.054,-0.266,-0.539,-0.16,0.828,7.228,-0.255,-0.286,-0.233,-0.248,0.283,-0.114,-0.478,-1.019,-0.167,0.078,1.823,1.35,0.2
Baroda BNP Paribas Credit Risk Fund -Regular-Quarterly IDCW,1.099,0.259,-0.965,0.555,0.888,0.812,0.979,0.734,-1.603,0.485,0.318,-1.715,0.089,0.282,-0.642,-0.314,0.066,0.514,-1.154,0.406,-2.074,0.35,0.858,-1.135,0.036,0.574,-1.012,0.201,0.256,-3.169,0.655,-0.058,0.023,-0.325,-0.033,-0.289,0.897,0.949,-2.972,-1.749,-3.576,1.835,1.638,0.832,1.642,1.144,0.745,0.733,0.621,0.795,3.365,0.598,0.385,-0.793,0.499,1.485,6.009,0.354,0.324,-1.22,0.278,0.81,-0.937,-0.039,-0.578,-1.003,0.137,1.938,1.392,0.341
Baroda BNP Paribas GILT FUND - Direct Plan - Growth Option,-0.337,-2.626,1.505,-0.037,1.874,1.28,0.922,0.537,-0.33,-0.546,0.208,-0.614,-1.251,-0.532,3.032,-1.985,-0.184,0.121,1.395,-0.513,0.784,1.803,1.747,1.491,-0.198,0.778,0.982,-0.328,2.801,1.35,1.932,0.398,-0.195,0.497,0.565,0.239,0.172,1.335,0.698,1.977,1.517,0.963,0.836,-0.432,-0.054,1.532,0.594,0.545,-1.017,-1.229,0.915,0.582,0.589,-0.014,0.4,1.095,0.422,-0.09,0.709,-0.269,-0.878,0.761,0.28,-0.814,-0.855,0.464,0.414,1.076,1.037,1.383
Baroda BNP Paribas GILT FUND - Direct Plan - IDCW Option,-0.337,-2.626,1.506,-0.037,1.874,1.28,0.922,0.537,-0.33,-0.546,0.208,-0.614,-1.251,-0.532,3.032,-1.985,-0.184,0.121,1.394,-0.512,0.784,1.804,1.747,1.491,-0.197,0.778,0.982,-0.328,2.801,1.35,1.932,0.398,-0.195,0.497,0.565,0.239,0.172,1.335,-0.005,1.977,1.517,0.963,0.835,-0.432,-0.054,1.532,0.595,0.545,-1.016,-1.229,-2.399,0.582,0.59,-0.014,0.4,1.095,0.422,-0.089,0.709,-0.269,-0.878,0.761,-4.828,-0.814,-0.855,0.464,0.275,1.599,1.264,0.754
