scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,0.016,-0.568,0.741,-0.692,0.319,-0.501,0.58,-0.235,-0.299,0.21,-0.546,-0.245,0.078,-0.422,1.223,-1.702,-0.451,0.53,-0.173,-0.316,0.063,0.134,0.344,-0.338,-0.405,0.221,0.429,-0.892,1.373,-1.328,0.004,-0.008,-0.453,0.75,-0.15,-0.115,-0.203,-0.475,0.135,-0.145,-0.135,0.073,-1.115,0.021,0.018,0.383,-0.156,-0.122,-0.891,-0.61,0.549,-0.206,0.011,-0.514,0.479,0.088,-0.311,-0.146,-0.083,-0.019,-0.298,-0.048,0.114,-0.252,-0.744,0.358,-0.107,0.272,0.521,-0.711
Kotak Gilt-Investment  Provident Fund and Trust-Growth,-0.47,-3.976,1.767,-0.032,2.886,1.819,0.976,0.193,-0.957,-0.687,-0.532,-1.073,-1.153,-0.313,2.927,-1.48,0.287,0.063,1.251,-0.162,0.28,1.069,1.614,1.936,-0.484,1.001,1.816,-0.471,2.179,1.413,3.207,-0.325,-0.378,0.111,0.257,0.551,0.127,1.635,1.279,2.883,1.43,0.582,0.643,-0.252,-0.277,1.622,0.872,1.089,-0.972,-1.147,0.586,0.534,0.391,0.04,0.317,1.307,0.825,-0.38,0.483,-0.372,-0.437,0.333,0.531,-0.718,-0.658,-0.283,0.411,1.463,1.21,1.177
Kotak Gilt-Investment  Provident Fund and Trust-Growth - Direct,-0.388,-3.902,1.85,0.036,2.97,1.9,1.056,0.278,-0.881,-0.608,-0.453,-0.997,-1.069,-0.236,3.003,-1.415,0.371,0.151,1.334,-0.072,0.362,1.173,1.703,2.017,-0.399,1.079,1.88,-0.395,2.261,1.495,3.296,-0.243,-0.291,0.197,0.335,0.633,0.21,1.705,1.36,2.96,1.508,0.665,0.727,-0.172,-0.194,1.703,0.957,1.177,-0.885,-1.07,0.668,0.603,0.471,0.121,0.395,1.387,0.906,-0.285,0.576,-0.286,-0.355,0.399,0.615,-0.646,-0.571,-0.196,0.492,1.465,1.21,1.409
Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,-0.47,-3.977,0.938,-0.032,2.886,-0.407,0.976,0.193,-0.958,-0.687,-0.533,-1.073,-1.153,-0.312,2.536,-1.48,0.287,-0.875,1.252,-0.162,-0.577,1.069,1.615,-1.059,-0.484,1.002,1.41,-0.471,2.178,-1.914,3.207,-0.325,-2.577,0.11,0.258,0.418,0.127,1.636,-2.625,2.883,1.43,-4.827,0.643,-0.252,-0.561,1.622,0.872,-1.998,-0.972,-1.147,0.585,0.534,0.392,-0.71,0.317,1.307,-1.061,-0.38,0.483,-0.679,-0.438,0.334,-0.631,-0.718,-0.658,-0.283,-0.06,2.097,1.448,-0.144
Kotak Gilt-Investment Regular-Growth,-0.47,-3.976,1.766,-0.032,2.886,1.819,0.975,0.193,-0.957,-0.687,-0.532,-1.073,-1.153,-0.313,2.927,-1.48,0.287,0.063,1.251,-0.162,0.28,1.069,1.614,1.936,-0.484,1.001,1.816,-0.471,2.179,1.413,3.207,-0.325,-0.378,0.111,0.257,0.551,0.127,1.636,1.279,2.883,1.43,0.582,0.643,-0.253,-0.277,1.622,0.872,1.089,-0.972,-1.147,0.586,0.534,0.391,0.04,0.317,1.307,0.825,-0.38,0.483,-0.372,-0.437,0.333,0.531,-0.718,-0.658,-0.283,0.411,1.463,1.21,1.177
Kotak Gilt-Investment Regular-Growth - Direct,-0.388,-3.902,1.85,0.036,2.97,1.9,1.056,0.279,-0.881,-0.608,-0.453,-0.997,-1.069,-0.236,3.003,-1.415,0.371,0.151,1.334,-0.072,0.362,1.173,1.703,2.017,-0.399,1.079,1.88,-0.395,2.261,1.495,3.296,-0.243,-0.291,0.197,0.334,0.633,0.21,1.705,1.36,2.96,1.508,0.665,0.727,-0.172,-0.194,1.703,0.957,1.177,-0.886,-1.07,0.668,0.603,0.471,0.121,0.395,1.387,0.906,-0.285,0.576,-0.286,-0.355,0.412,0.615,-0.646,-0.571,-0.196,0.492,1.465,1.21,1.409
Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,-0.47,-3.976,0.936,-0.032,2.886,-0.407,0.976,0.193,-0.957,-0.687,-0.532,-1.074,-1.153,-0.312,2.927,-1.48,0.287,0.064,1.251,-0.162,0.28,1.069,1.614,1.935,-0.483,1.002,1.815,-0.471,2.178,1.414,3.207,-0.325,-2.587,0.111,0.257,0.418,0.127,1.636,-2.625,2.883,1.43,-4.826,0.643,-0.252,-0.562,1.623,0.871,0.069,-0.973,-1.147,0.585,0.534,0.392,0.04,0.317,1.307,0.825,-0.381,0.483,-0.372,-0.437,0.333,0.531,-0.718,-0.658,-0.283,0.168,2.041,1.429,0.407
Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option - Direct,-0.387,-3.902,1.85,0.037,2.97,1.9,1.056,0.278,-0.881,-0.609,-0.453,-0.997,-1.07,-0.235,3.003,-1.415,0.371,0.151,1.335,-0.072,0.362,1.174,1.703,2.017,-0.399,1.079,1.88,-0.395,2.261,1.496,3.296,-0.243,-0.291,0.196,0.335,0.633,0.21,1.705,1.36,2.96,1.508,0.666,0.727,-0.172,-0.194,1.703,0.957,1.178,-0.885,-1.07,0.668,0.603,0.471,0.121,0.395,1.387,0.907,-0.285,0.576,-0.286,-0.355,0.412,0.616,-0.646,-0.571,-0.196,0.492,1.465,1.21,1.409
Kotak Debt Hybrid - Growth,1.817,-1.742,2.134,0.855,1.368,1.043,1.108,0.324,-0.399,1.794,-0.018,0.423,-0.724,-1.048,0.952,-0.8,-0.979,-0.521,2.501,0.932,-3.153,-0.281,1.593,0.913,-0.111,0.408,3.294,-0.234,1.588,0.27,-0.434,0.411,1.953,2.223,0.909,0.735,0.166,0.165,-6.59,5.341,2.442,2.532,2.041,2.038,0.142,1.101,4.312,2.425,0.433,1.099,0.316,0.993,2.363,0.736,1.336,1.281,2.378,0.961,-0.442,0.197,0.077,-1.427,1.954,-0.87,-1.659,-0.799,0.669,2.866,1.693,1.369
Kotak Debt Hybrid - Growth - Direct,1.911,-1.659,2.217,0.909,1.449,1.109,1.229,0.451,-0.284,1.919,0.109,0.551,-0.588,-0.923,1.074,-0.708,-0.882,-0.439,2.595,1.057,-3.069,-0.185,1.691,1.007,-0.01,0.5,3.393,-0.144,1.68,0.357,-0.339,0.494,2.041,2.321,0.997,0.829,0.259,0.243,-6.507,5.429,2.531,2.627,2.136,2.134,0.24,1.192,4.412,2.531,0.532,1.192,0.404,1.072,2.471,0.846,1.448,1.4,2.497,1.083,-0.326,0.313,0.188,-1.325,2.067,-0.774,-1.545,-0.686,0.769,2.866,1.693,1.573
