scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Sundaram Financial Services Opportunities Fund Institutional Plan - Growth,10.366,4.014,3.086,3.724,2.38,-0.038,6.258,-2.781,-1.974,5.454,-1.302,1.192,5.242,-7.739,-3.018,5.006,2.819,-2.868,4.19,1.668,-11.306,-0.224,5.854,2.169,-2.443,-1.254,10.557,0.957,6.264,0.924,-7.748,-0.119,7.641,4.269,5.058,2.505,-1.364,-2.201,-33.26,16.585,2.44,9.385,-0.729,10.207,-3.918,4.828,18.518,5.014,4.281,5.935,-2.514,-2.179,8.066,-0.979,1.695,5.722,0.449,5.069,-5.774,-2.868,3.03,-6.017,6.021,-3.417,-1.897,-5.163,1.42,47.804,6.914,0.711
Sundaram Financial Services Opportunities Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),10.365,4.014,3.086,1.186,2.379,-0.039,6.256,-2.785,-4.259,5.449,-1.307,1.187,5.238,-7.743,-12.342,5.004,2.817,-2.869,4.189,1.665,-13.521,-0.226,5.855,2.171,-2.439,-1.252,7.794,0.957,6.263,0.922,-7.749,-0.12,4.145,4.267,5.055,2.502,-1.366,-2.203,-35.66,16.588,2.442,9.386,-0.727,10.209,-3.917,4.83,18.516,5.012,4.28,5.934,-2.515,-2.18,8.065,-7.847,1.696,5.721,0.448,5.068,-5.776,-2.868,3.029,-6.018,6.02,-3.418,-1.898,-5.164,0.936,54.101,7.355,0.441
Sundaram Financial Services Opportunities Fund Regular Plan - Growth,10.32,3.958,3.019,3.658,2.298,-0.11,6.174,-2.884,-2.056,5.368,-1.44,1.025,5.069,-7.877,-3.157,4.952,2.76,-2.918,4.132,1.611,-11.349,-0.275,5.806,2.122,-2.491,-1.297,10.502,0.916,6.215,0.865,-7.805,-0.166,7.59,4.214,5.007,2.448,-1.421,-2.236,-33.294,16.451,2.371,9.293,-0.817,10.087,-4.029,4.724,18.393,4.893,4.156,5.821,-2.642,-2.288,7.938,-1.094,1.582,5.6,0.328,4.947,-5.883,-2.99,2.911,-6.116,5.891,-3.524,-2.007,-5.279,1.333,47.723,6.908,0.668
Sundaram Financial Services Opportunities Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),10.319,3.958,3.019,1.022,2.298,-0.11,6.173,-2.884,-4.433,5.368,-1.44,1.025,5.069,-7.877,-12.959,4.951,2.76,-2.918,4.131,1.611,-13.757,-0.274,5.806,2.122,-2.491,-1.297,7.546,0.916,6.215,0.866,-7.805,-0.165,3.837,4.214,5.007,2.449,-1.422,-2.236,-35.887,16.451,2.371,9.294,-0.816,10.087,-4.028,4.724,18.394,4.893,4.156,5.821,-2.642,-2.288,7.938,-7.953,1.582,5.601,0.328,4.947,-5.883,-2.99,2.911,-6.116,5.891,-3.524,-2.007,-5.279,0.827,54.474,7.381,0.388
Sundaram Infrastructure Advantage Fund Direct Plan - Growth,8.44,2.382,5.543,5.839,-1.482,0.053,2.301,0.808,1.258,6.493,3.607,6.764,-3.426,-3.901,-5.123,4.062,-5.784,-7.215,4.208,2.811,-11.314,-2.012,3.546,2.636,-3.911,1.158,9.847,-1.994,6.216,-1.686,-11.785,-2.641,8.383,3.631,-0.73,-0.412,3.56,-3.198,-30.148,14.768,4.261,8.952,1.33,8.639,-1.614,0.2,13.403,8.381,3.423,10.731,1.456,-1.293,6.474,3.535,5.259,0.86,4.585,4.912,-3.215,2.87,0.43,-8.733,6.153,0.653,-4.846,-5.897,1.249,44.587,6.677,0.648
Sundaram Infrastructure Advantage Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),8.439,2.382,5.542,4.094,-1.482,0.053,2.301,0.807,1.258,6.493,3.607,6.763,-3.426,-3.901,-5.123,4.062,-5.784,-7.215,4.208,2.81,-12.766,-2.012,3.546,2.635,-3.911,1.158,8.033,-1.994,6.216,-1.686,-11.785,-2.641,4.801,3.631,-0.73,-0.411,3.56,-3.198,-32.84,14.767,4.261,8.951,1.329,8.639,-1.614,0.2,13.402,8.381,3.423,10.731,1.456,-1.294,6.474,-3.63,5.259,0.86,4.585,4.912,-3.215,2.87,0.43,-8.733,6.153,0.653,-4.846,-5.897,0.97,46.88,6.847,0.491
Sundaram Infrastructure Advantage Fund Regular Plan - Growth,8.424,2.337,5.492,5.792,-1.531,0.006,2.252,0.73,1.18,6.406,3.478,6.609,-3.571,-4.026,-5.239,4.009,-5.836,-7.261,4.151,2.755,-11.356,-2.06,3.506,2.598,-3.949,1.122,9.803,-2.03,6.175,-1.723,-11.821,-2.677,8.344,3.589,-0.766,-0.45,3.521,-3.229,-30.174,14.738,4.223,8.912,1.294,8.601,-1.649,0.167,13.364,8.343,3.385,10.694,1.416,-1.332,6.427,3.493,5.217,0.818,4.543,4.868,-3.255,2.828,0.39,-8.767,6.109,0.615,-4.889,-5.937,1.2,44.586,6.677,0.623
Sundaram Infrastructure Advantage Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),8.424,2.337,5.492,4.019,-1.531,0.007,2.252,0.73,1.18,6.406,3.478,6.609,-3.571,-4.026,-5.239,4.009,-5.836,-7.262,4.151,2.755,-12.855,-2.061,3.506,2.597,-3.949,1.122,7.925,-2.03,6.176,-1.723,-11.821,-2.678,4.624,3.588,-0.766,-0.451,3.521,-3.229,-32.98,14.738,4.224,8.912,1.294,8.602,-1.649,0.167,13.364,8.343,3.385,10.694,1.416,-1.332,6.426,-3.669,5.217,0.818,4.543,4.868,-3.254,2.827,0.39,-8.767,6.109,0.615,-4.889,-5.937,0.914,46.981,6.854,0.462
Sundaram Rural and Consumption Fund Direct Plan - Growth,7.621,1.96,3.658,4.178,2.109,-0.323,2.644,1.343,-2.799,6.805,-0.965,4.103,-1.748,-3.227,-2.734,5.394,-2.105,-3.35,4.56,3.596,-10.962,-2.134,4.45,2.275,-3.441,0.098,5.967,-1.637,2.107,-2.651,-7.546,2.607,6.605,4.652,-0.165,0.162,4.565,-2.798,-26.482,14.091,6.329,4.803,3.349,6.891,-0.419,-0.722,12.038,6.349,-0.285,3.848,-0.224,-2.474,5.372,4.258,2.067,3.714,2.175,2.959,-4.844,0.891,-0.264,-3.4,2.362,1.192,-2.196,-1.975,1.095,29.633,5.444,0.697
Sundaram Rural and Consumption Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),7.618,-0.417,3.661,4.178,-0.117,-0.322,2.644,-0.865,-2.799,6.805,-3.018,4.103,-1.749,-3.226,-11.184,5.395,-4.339,-3.35,4.56,1.193,-10.963,-2.135,1.731,2.275,-3.441,-2.628,5.967,-1.637,-0.562,-2.65,-7.545,0.909,6.604,4.653,-0.165,-1.481,4.565,-2.798,-27.962,14.09,6.329,4.803,3.349,6.891,-0.419,-0.722,12.037,6.349,-0.285,3.848,-0.224,-9.145,5.372,4.258,2.068,3.714,2.175,2.959,-4.844,0.891,-0.264,-3.4,2.362,1.192,-2.196,-1.975,0.465,34.626,5.884,0.274
