scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Navi ELSS Tax Saver Fund- Direct Plan- Growth Option,8.14,2.633,3.699,3.059,1.521,0.747,1.669,0.07,-0.47,5.499,-1.841,4.883,-1.087,-5.8,-2.814,6.11,0.095,-1.309,5.361,1.668,-7.937,-0.852,3.803,0.9,-1.484,0.825,6.342,-0.262,2.835,-1.165,-8.209,0.304,8.287,2.733,1.159,0.72,2.024,-2.564,-28.687,15.066,4.759,7.883,3.744,4.037,1.815,0.593,10.859,5.927,1.32,5.619,-0.16,-1.148,5.136,2.912,1.82,4.974,2.803,4.92,-4.053,2.611,-0.967,-6.597,4.752,-2.039,-3.428,-5.006,1.193,31.527,5.615,0.736
Navi ELSS Tax Saver Fund- Direct Plan- Growth Option,8.14,2.633,3.699,3.059,1.521,0.747,1.669,0.07,-0.47,5.499,-1.841,4.883,-1.087,-5.8,-2.814,6.11,0.095,-1.309,5.361,1.668,-7.937,-0.852,3.803,0.9,-1.484,0.825,6.342,-0.262,2.835,-1.165,-8.209,0.304,8.287,2.733,1.159,0.72,2.024,-2.564,-28.687,15.066,4.759,7.883,3.744,4.037,1.815,0.593,10.859,5.927,1.32,5.619,-0.16,-1.148,5.136,2.912,1.82,4.974,2.803,4.92,-4.053,2.611,-0.967,-6.597,4.752,-2.039,-3.428,-5.006,1.193,31.527,5.615,0.736
HDFC Taxsaver - Growth Option - Direct Plan,9.49,1.199,4.591,2.354,1.689,-1.057,4.769,-1.605,-2.023,9.417,-1.309,4.213,-0.047,-5.876,-4.383,3.079,-1.763,-1.769,5.462,4.064,-4.647,-3.704,0.084,1.622,-2.147,-0.129,8.789,-0.78,2.029,-0.835,-9.179,-1.826,5.598,4.827,0.461,0.712,-2.167,-5.368,-25.691,18.64,4.207,6.045,4.672,6.532,-3.222,0.244,11.137,7.452,3.073,4.153,0.263,-1.067,6.448,3.667,3.218,4.886,2.909,3.619,-2.274,1.268,-0.604,-5.735,7.528,-1.391,-1.124,-3.511,1.2,33.067,5.75,0.723
Sundaram Diversified Equity (ELSS) Direct Plan - Growth,8.754,2.759,2.615,4.964,1.042,-0.001,3.595,-1.105,-1.047,4.161,-0.019,4.537,0.645,-4.565,-3.838,6.343,-2.709,-2.152,3.714,2.925,-9.831,-2.562,2.276,1.447,-2.042,0.411,7.212,-0.532,3.407,-2.692,-9.106,0.371,6.24,4.402,0.425,0.52,1.206,-3.435,-28.776,14.941,5.048,6.75,5.509,6.053,0.382,0.153,13.096,6.133,2.323,5.845,0.408,-1.734,5.823,2.801,2.992,5.888,1.715,2.728,-3.666,2.299,-0.239,-5.557,5.688,-2.385,-2.315,-3.923,1.156,33.521,5.79,0.692
Aditya Birla Sun Life Tax Relief '96 - Growth - Direct Plan,5.565,2.311,5.945,2.87,0.905,1.686,3.846,-0.943,1.835,6.346,0.157,5.425,-0.387,-3.404,-1.267,5.258,-2.424,-0.909,3.679,4.494,-8.809,-4.706,4.548,0.899,-1.689,-0.094,5.316,-0.713,0.568,-2.774,-7.769,1.02,5.504,6.717,0.761,-0.348,1.163,-2.472,-22.482,16.241,2.094,6.859,1.259,6.571,0.617,-0.73,10.109,7.441,0.125,4.553,-0.476,-2.152,4.242,1.411,1.833,1.856,2.444,0.889,-2.881,0.553,-1.415,-5.985,4.789,-1.38,-3.887,-4.14,1.007,25.834,5.083,0.686
L&T  Tax Advantage Fund-Direct Plan-Growth,7.161,3.239,3.895,4.395,1.814,-0.01,3.602,1.309,-0.791,5.747,-1.712,4.923,2.015,-4.064,-3.507,5.053,-3.246,-1.92,4.742,1.602,-7.602,-1.129,1.818,-0.73,-3.575,-1.238,7.57,-1.22,3.026,-1.636,-7.609,0.194,4.532,5.655,0.798,0.527,0.875,-3.61,-27.63,18.366,4.614,5.838,4.823,5.682,1.429,1.125,10.781,5.512,0.283,5.591,2.011,-0.871,4.816,2.968,3.747,2.829,0.549,1.879,-1.662,3.821,-2.863,-5.765,6.209,-3.482,-4.431,-6.138,1.075,32.183,5.673,0.656
Quantum Tax Saving Fund - Direct Plan Growth Option,6.596,1.117,1.997,0.708,2.308,-1.894,4.462,-1.332,-0.199,4.781,-2.734,2.985,3.068,-4.419,-3.974,4.14,-1.724,0.212,2.858,4.131,-2.482,-2.824,1.051,1.318,-2.119,0.949,4.551,-0.45,1.507,-2.082,-6.47,-1.387,-0.199,5.416,0.151,0.833,-1.503,-5.735,-24.948,18.387,5.181,4.457,6.849,4.458,0.772,2.42,12.792,4.791,4.572,4.372,1.19,-0.655,6.746,1.46,1.841,3.003,1.235,2.854,-5.588,1.069,0.926,-5.223,6.012,-1.981,-1.264,-3.773,0.993,27.662,5.259,0.654
Aditya Birla Sun Life Tax Plan - Direct Plan - Growth Option,5.377,2.246,5.995,2.921,0.83,1.676,3.849,-0.987,1.912,6.268,0.1,5.346,-0.33,-3.481,-1.374,5.429,-2.554,-0.962,3.751,4.554,-9.144,-4.859,4.537,0.891,-1.741,-0.1,5.346,-0.854,0.479,-2.928,-8.198,0.927,5.61,6.747,0.637,-0.327,1.22,-2.51,-23.198,16.346,2.071,6.908,1.359,6.473,0.574,-0.904,10.164,7.521,0.102,4.631,-0.544,-2.342,4.152,1.348,1.786,1.632,2.427,0.766,-2.918,0.528,-1.219,-5.97,4.912,-1.728,-4.056,-4.307,0.952,26.88,5.185,0.636
Nippon India Tax Saver Fund - Direct Plan Growth Plan - Growth Option,7.811,4.023,3.194,1.528,1.905,1.242,4.792,-0.414,-1.198,9.704,-1.241,5.654,-1.789,-6.52,-7.305,3.077,-5.542,-3.868,5.38,3.935,-8.224,-2.806,2.066,2.313,-4.884,-0.759,8.928,-0.366,2.126,-2.17,-12.415,-3.757,7.406,10.151,-0.05,2.049,-1.674,-6.566,-27.306,15.803,2.281,6.111,4.03,7.005,-1.908,1.76,12.601,7.222,3.607,8.719,1.222,-0.979,5.647,2.307,3.358,5.861,2.543,3.353,-4.383,0.803,1.363,-5.631,7.112,-3.149,-3.307,-4.125,1.025,40.094,6.332,0.561
Indiabulls Tax Savings Fund- Direct Plan- Growth Option,,,,,,,,,,,,,4.781,-3.897,-4.154,3.582,-3.792,-2.282,5.876,1.615,-7.984,-3.362,4.714,0.857,-2.335,-0.435,6.659,-0.307,2.775,-0.791,-7.371,0.323,6.987,3.265,0.988,0.684,-1.067,-2.903,-23.475,14.595,3.576,5.0,4.535,5.671,-0.619,1.661,10.918,6.164,1.213,3.339,1.077,-2.131,5.347,2.934,1.849,4.951,2.144,2.729,-3.678,0.636,0.554,-6.34,5.107,-2.254,-1.45,-4.341,0.78,30.005,5.478,0.493
