scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
ICICI Prudential Retirement Fund - Pure Equity - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,4.595,-0.478,2.599,-0.279,-5.789,-0.099,1.813,4.748,0.85,0.843,0.558,-5.587,-25.885,17.053,6.577,4.114,7.574,3.926,-1.988,1.42,11.713,7.225,5.177,2.812,0.228,-1.668,4.685,2.494,6.943,5.197,3.863,3.049,7.219,-0.276,0.822,-5.435,6.294,-3.618,-1.255,-3.177,1.721,41.104,6.411,0.93
Tata Retirement Savings Fund- Moderate Plan -Direct Plan-Growth Option,7.297,3.571,3.288,5.106,-1.152,0.709,3.875,1.894,-0.097,3.517,-0.386,3.774,0.602,-3.661,-1.527,5.291,-1.383,-1.343,5.16,1.072,-9.207,-1.079,4.174,1.121,-2.396,0.391,6.572,-0.414,1.478,-1.775,-5.755,0.864,7.059,4.094,0.548,0.59,1.354,-2.361,-18.785,13.926,3.759,4.259,5.047,3.274,2.105,0.602,6.972,5.921,-0.043,3.064,0.477,-0.23,4.49,2.378,1.94,5.121,1.874,1.367,-2.075,1.287,-2.634,-4.967,4.076,-1.529,-1.988,-3.381,1.169,19.225,4.385,0.923
Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,8.997,4.364,3.948,6.381,-1.652,0.762,4.718,2.383,0.056,4.371,-0.62,4.721,0.494,-4.494,-1.992,6.451,-1.764,-1.864,6.187,1.285,-11.429,-1.58,4.864,1.198,-2.955,0.412,7.765,-0.561,1.516,0.035,-6.554,0.95,8.123,4.532,0.578,0.625,1.49,-3.013,-22.259,16.481,4.061,4.622,5.721,3.851,2.495,0.435,7.804,6.675,0.148,3.684,0.37,-0.315,5.097,2.752,2.753,5.299,1.887,1.502,-2.584,1.375,-3.726,-6.127,4.76,-1.718,-2.373,-4.109,1.323,27.08,5.204,0.881
ICICI Prudential Retirement Fund - Hybrid Aggressive - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,4.196,-0.192,2.019,-0.281,-4.601,-0.098,1.992,3.711,1.13,0.652,0.74,-3.355,-20.347,12.954,4.783,3.503,6.667,3.001,-1.41,1.239,8.752,6.849,3.205,1.63,1.07,-0.227,3.469,1.749,3.438,4.89,1.248,3.113,-1.447,1.787,-0.935,-3.899,4.63,-3.35,-1.049,-2.85,1.209,24.426,4.942,0.847
Axis Retirement Savings Fund - Dynamic Plan - Direct Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.297,-1.379,-10.169,5.66,0.854,3.386,1.126,4.29,-1.175,1.784,9.408,6.472,-1.915,4.499,0.894,-1.691,4.568,4.212,-0.225,6.876,1.748,2.474,-2.683,0.345,-2.987,-4.479,0.737,-0.512,-3.458,-2.744,0.881,15.369,3.92,0.779
Nippon India Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,8.079,2.579,1.903,2.745,1.733,1.802,5.304,0.559,-1.042,5.879,-1.674,3.509,3.111,-4.462,-3.671,3.702,-2.32,-1.242,5.008,2.911,-7.541,-4.045,3.099,0.335,-3.295,1.321,8.522,-0.317,2.09,-1.338,-9.037,-1.739,5.257,5.652,0.508,0.842,-1.124,-5.027,-31.294,16.189,4.962,8.251,4.725,4.645,-0.285,1.072,11.685,7.198,1.353,5.293,1.314,-1.859,6.463,3.062,3.204,5.563,2.915,2.725,-3.173,1.259,-1.261,-6.472,6.502,-2.555,-3.491,-4.725,1.088,36.664,6.055,0.622
Nippon India Retirement Fund- Wealth Creation Scheme- Direct Plan-Growth Plan- Bonus Option,8.079,2.579,1.903,2.745,1.733,1.802,5.304,0.559,-1.042,5.879,-1.674,3.509,3.111,-4.462,-3.671,3.702,-2.32,-1.242,5.008,2.911,-7.541,-4.045,3.099,0.335,-3.295,1.321,8.522,-0.317,2.09,-1.338,-9.037,-1.739,5.257,5.652,0.508,0.842,-1.124,-5.027,-31.294,16.189,4.962,8.251,4.725,4.644,-0.285,1.072,11.685,7.198,1.353,5.293,1.314,-1.859,6.463,3.062,3.204,5.563,2.915,2.725,-3.173,1.259,-1.261,-6.472,6.502,-2.555,-3.491,-4.726,1.088,36.664,6.055,0.622
Aditya Birla Sun Life Retirement Fund-The 40s Plan-Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,1.768,-0.393,0.976,-1.94,-5.51,1.005,4.015,4.875,0.824,-0.266,0.922,-1.511,-16.778,12.18,1.803,5.543,1.086,5.106,0.374,-0.335,8.043,6.016,0.163,3.636,-0.299,-1.507,3.582,1.078,1.649,1.591,1.921,0.892,-1.61,0.307,-0.736,-4.712,4.311,-2.243,-2.083,-3.024,0.768,19.324,4.396,0.605
Axis Retirement Savings Fund - Aggressive Plan - Direct Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.796,-1.469,-17.378,10.096,2.477,4.286,1.686,4.398,0.301,2.2,8.895,6.732,-2.019,5.064,0.817,-1.378,3.279,4.524,0.228,5.397,1.707,0.21,-2.582,0.645,-3.789,-4.303,2.84,-0.97,-4.686,-3.965,0.811,24.909,4.991,0.563
Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,2.238,-0.459,0.933,-2.703,-7.779,1.151,5.545,6.386,0.911,-0.407,1.018,-2.556,-21.762,16.051,2.044,6.829,1.086,6.53,0.498,-0.715,10.092,7.454,0.024,4.7,-0.536,-2.085,4.29,1.435,1.876,1.786,2.4,1.069,-2.214,0.344,-1.067,-5.997,5.399,-2.605,-2.145,-3.871,0.88,32.483,5.699,0.535
