scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Canara Robeco Liquid Fund -Unclaimed Redemption and Dividend Plan -Direct Growth Option,0.555,0.507,0.552,0.52,0.541,0.526,0.548,0.537,0.514,0.533,0.524,0.54,0.552,0.508,0.66,0.575,0.589,0.629,0.622,0.599,0.585,0.619,0.615,0.621,0.604,0.535,0.65,0.575,0.596,0.524,0.528,0.476,0.447,0.461,0.419,0.425,0.428,0.408,0.411,0.315,0.286,0.267,0.263,0.274,0.266,0.272,0.258,0.256,0.255,0.241,0.288,0.262,0.273,0.275,0.281,0.285,0.258,0.271,0.289,0.297,0.291,0.276,0.31,0.29,0.347,0.387,0.435,0.019,0.139,10.841
HDFC Dividend Yield Fund - Growth Option Direct Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899,1.317,7.303,0.866,-1.156,7.187,5.069,4.244,4.392,4.796,1.8,-1.526,1.95,-0.204,-5.264,5.535,-1.252,-2.826,-4.322,1.516,13.774,3.711,1.415
IDBI Dividend Yield Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,0.699,0.396,0.987,0.391,0.293,-0.776,-3.421,2.733,4.691,4.862,-0.273,0.823,2.541,-1.895,-20.718,15.215,5.131,4.382,8.015,3.911,1.283,0.76,10.16,6.25,0.215,2.362,2.238,-0.068,5.335,3.571,1.505,4.459,2.749,2.334,-1.224,2.759,-2.003,-4.917,4.437,-1.845,-5.432,-3.628,1.412,27.189,5.214,0.938
UTI-Dividend Yield Fund.-Growth-Direct,6.293,2.334,3.61,2.016,1.481,-1.143,2.673,0.428,-1.579,6.367,-2.569,3.701,3.427,-2.677,-3.616,5.448,-0.795,-1.958,5.924,4.613,-4.222,-4.008,-0.158,1.782,-0.77,0.586,4.357,-0.528,0.669,-2.121,-5.52,2.054,4.531,3.894,-2.144,1.52,-0.047,-3.528,-19.656,14.364,5.416,5.483,8.398,1.682,0.205,0.361,9.797,7.356,0.829,4.274,3.442,-0.216,6.923,5.006,3.916,4.947,2.604,0.934,-3.842,3.563,-3.373,-3.822,5.372,-4.398,-3.305,-4.594,1.242,22.609,4.755,0.905
ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,5.457,5.105,4.458,2.984,2.033,2.053,3.475,-1.707,0.29,6.893,-1.988,4.496,0.157,-3.562,-4.237,4.904,-3.308,-3.702,4.519,4.155,-6.891,-3.205,-0.582,2.04,-3.41,-1.522,8.714,-0.569,1.615,-2.551,-6.632,-1.059,3.444,3.144,-1.255,1.528,-0.12,-6.841,-21.622,11.983,6.56,6.907,6.461,3.96,-1.079,-0.899,14.156,8.607,-0.313,9.728,1.907,-1.543,7.591,4.53,4.542,3.12,6.09,2.419,-3.243,3.388,2.446,-4.536,5.615,-2.912,-1.963,-3.969,1.307,28.604,5.348,0.847
HSBC Managed Solutions - Growth - Dividend Direct,6.916,2.227,3.132,1.852,0.858,0.683,4.317,-0.575,-1.215,4.114,-0.401,3.399,2.368,-4.105,-2.537,3.637,-2.174,-2.005,4.015,2.117,-7.244,-2.505,2.732,0.407,-1.275,-0.188,6.905,-0.729,2.44,-1.99,-5.434,0.858,3.751,3.254,0.891,0.623,1.679,-2.91,-19.792,14.605,4.303,5.255,5.104,4.232,1.239,2.366,9.563,6.022,1.999,3.383,-0.028,0.251,5.356,2.672,2.216,4.137,1.899,2.132,-2.351,2.664,-1.158,-5.194,3.712,-4.409,-3.45,-3.792,1.073,20.266,4.502,0.826
Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,8.17,4.14,3.185,3.668,-1.817,0.422,3.719,1.796,-2.23,5.621,-4.327,5.359,0.454,-4.273,-4.991,3.843,-2.876,-2.723,6.219,3.338,-10.559,-2.776,0.795,1.224,-3.258,0.7,5.373,-1.837,0.722,-1.966,-7.145,1.327,4.519,4.566,-0.036,3.358,1.122,-4.861,-23.161,15.957,4.487,6.259,6.155,4.105,0.088,-0.263,11.359,6.663,-3.104,5.001,1.93,3.021,7.082,6.07,4.698,-0.517,3.335,1.633,-3.183,4.515,-2.632,-4.624,6.218,-3.699,-3.238,-5.098,1.015,30.212,5.497,0.64
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Growth Direct,5.445,0.46,0.764,-0.397,2.163,2.076,4.341,-0.647,1.741,0.991,-1.365,2.341,5.973,-2.141,-3.318,4.935,0.141,-1.69,2.283,1.62,3.878,-7.122,-5.703,-4.667,11.691,3.367,0.118,0.633,-6.205,6.508,-3.644,0.123,2.182,3.476,-0.421,4.21,-4.649,-3.265,-11.155,10.004,0.6,1.857,5.697,0.206,-2.566,0.659,9.865,3.692,2.817,3.702,0.354,1.495,0.601,-1.177,-4.063,-1.331,0.386,0.971,0.087,2.034,0.659,-2.048,0.821,-4.372,2.559,-6.764,0.634,16.377,4.047,0.543
Tata Dividend Yield Fund-Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,2.162,3.367,3.038,2.116,1.826,-3.066,3.59,-1.298,-4.427,4.986,-1.947,-4.54,-5.177,0.048,11.743,3.427,0.049
