scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
UTI - Flexi Cap Fund-Growth Option - Direct,6.315,3.555,3.362,0.622,1.038,1.116,3.997,-1.233,-0.648,2.23,0.206,3.995,2.267,-2.841,-0.711,6.715,-0.985,1.077,5.438,3.774,-9.924,-4.194,3.21,1.358,-1.208,0.804,6.42,-1.187,0.826,-1.76,-6.961,1.771,5.625,5.03,1.766,2.294,3.313,-1.965,-25.794,15.652,5.063,5.09,7.429,5.47,2.269,2.932,13.644,8.467,-0.24,4.354,2.499,-1.172,5.273,4.239,3.745,6.068,2.374,2.56,-2.132,1.527,-5.512,-5.816,3.515,-2.903,-5.476,-4.464,1.412,30.507,5.523,0.886
Union Flexi Cap Fund - Direct Plan - Growth Option,5.981,2.063,3.627,1.483,2.364,-1.045,4.535,-0.582,-1.277,4.45,-1.899,3.611,2.222,-3.755,-2.926,3.864,-2.111,0.154,5.982,1.946,-5.243,-5.228,4.178,0.103,-0.925,-0.727,7.057,0.586,1.946,-1.04,-7.549,1.447,6.065,4.692,0.98,1.066,0.78,-2.812,-24.331,18.383,4.484,5.472,7.07,5.361,0.682,1.309,10.538,6.999,1.391,5.71,0.842,-0.383,5.353,5.147,3.64,5.519,1.961,3.039,-2.733,2.003,-3.202,-4.837,4.81,-2.421,-3.593,-4.058,1.337,27.979,5.29,0.876
DSP US Flexible Equity Fund - Direct Plan - Growth,1.338,3.848,-4.592,0.838,1.022,1.104,0.06,1.613,3.84,0.784,2.751,-0.09,4.27,-2.487,-3.26,5.906,3.361,2.204,5.336,6.121,2.629,-5.052,-4.541,-10.816,10.241,3.781,-2.688,3.018,-5.617,5.691,1.446,0.98,1.58,2.029,2.987,2.231,-0.868,-10.62,-8.581,14.541,10.041,1.02,4.452,2.955,-2.276,-0.108,10.642,0.638,0.501,5.148,3.64,4.068,-1.672,2.62,0.961,-1.106,-1.886,5.129,-0.785,2.813,-3.694,-1.661,5.074,-2.803,3.264,-7.302,1.152,21.42,4.628,0.862
DSP Flexi Cap Fund - Direct Plan - Growth,10.22,0.59,3.559,4.451,0.519,-1.787,4.742,0.593,-2.055,6.077,-0.239,4.424,0.776,-4.456,-2.901,4.634,-1.893,-2.607,6.183,3.565,-11.138,-2.25,4.549,1.389,-2.079,0.933,8.369,0.363,3.589,-0.631,-6.797,2.104,8.716,3.91,-0.187,1.604,3.369,-1.105,-26.448,14.816,4.576,6.443,3.318,5.735,-1.047,2.401,12.947,6.172,2.69,4.723,1.614,-0.215,6.112,4.192,4.085,4.387,0.753,2.023,-3.327,1.58,-2.367,-6.396,4.382,-3.383,-3.659,-4.999,1.367,32.383,5.691,0.832
Kotak Flexicap Fund - Growth - Direct,8.573,2.352,3.299,3.908,1.692,-1.122,4.655,0.297,-2.029,5.107,-2.022,3.046,2.388,-4.628,-2.191,3.818,-0.711,-0.078,6.698,2.603,-7.114,-3.166,4.066,1.197,-1.315,0.057,8.058,0.309,3.648,-1.994,-7.368,0.759,5.916,4.179,1.695,0.369,1.204,-4.02,-26.054,16.72,5.664,6.349,4.966,3.846,0.8,1.202,12.571,5.185,3.133,4.722,0.867,-1.423,5.723,2.403,2.603,3.76,1.623,1.959,-4.617,2.282,0.863,-6.375,5.898,-2.102,-3.187,-4.857,1.313,29.984,5.476,0.831
Axis Flexi Cap Fund - Direct Plan - Growth,,,,,,,,,,,-0.3,1.503,0.79,-1.763,0.598,5.161,0.648,0.644,6.113,1.118,-7.567,-3.628,6.081,1.001,-0.45,-0.271,5.535,1.204,3.833,-0.487,-4.564,2.05,8.348,1.965,0.386,1.385,0.759,-1.209,-20.061,12.212,2.691,4.192,4.191,4.715,0.155,2.248,12.462,7.589,-1.498,3.676,0.856,-0.848,5.545,3.349,3.352,7.453,1.297,3.103,-2.484,1.666,-4.602,-4.177,4.519,-4.776,-4.719,-4.619,1.185,24.692,4.969,0.826
HDFC Flexi Cap Fund - Growth Option - Direct Plan,8.529,1.659,3.385,2.286,2.222,-0.695,5.742,-2.269,-2.465,10.127,-1.456,3.527,3.017,-7.078,-4.655,4.873,-1.723,-2.396,7.254,5.479,-5.871,-1.246,0.72,2.239,-1.278,-0.285,9.714,-1.347,4.066,-0.272,-9.175,-2.074,4.209,5.426,0.796,0.735,-2.285,-4.721,-26.27,17.772,3.642,5.808,3.388,6.834,-4.543,0.836,14.656,8.773,4.869,8.943,-1.423,-1.632,9.891,1.253,1.74,2.165,5.757,3.114,-4.245,0.962,3.675,-5.433,6.915,-1.063,-1.844,-3.978,1.444,37.699,6.14,0.815
Franklin India Flexi Cap Fund - Direct - Growth,6.657,3.911,2.753,1.42,1.478,-0.435,5.508,-1.414,-1.795,5.571,-0.861,3.49,2.511,-4.613,-2.764,4.317,-1.734,-0.532,4.385,4.595,-7.382,-3.937,2.854,1.283,-0.928,0.087,6.936,-1.018,0.306,-2.057,-7.716,-0.739,5.057,4.044,2.0,0.043,0.916,-4.957,-26.87,17.921,7.21,6.292,3.962,6.277,-2.418,2.958,13.951,5.735,7.087,5.749,-0.159,-1.762,6.908,2.994,2.531,4.023,4.528,5.003,-4.416,1.349,1.146,-5.873,5.37,-2.648,-2.525,-4.668,1.317,33.293,5.77,0.791
Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan,8.178,2.157,2.928,2.161,1.603,0.866,4.351,0.898,-1.189,4.185,-2.531,4.203,1.735,-4.129,-2.718,5.567,-2.84,-1.266,4.064,4.726,-8.29,-1.793,4.167,0.05,-2.528,0.266,6.957,-0.453,1.896,-1.91,-7.155,0.086,5.876,4.967,2.503,1.148,2.0,-3.321,-28.677,18.99,4.536,4.968,6.005,6.795,-0.098,1.817,13.318,6.144,1.63,4.261,0.999,1.146,5.213,3.649,2.937,4.407,2.765,2.502,-5.294,2.448,-1.519,-5.101,6.335,-3.78,-4.465,-4.133,1.291,34.164,5.845,0.765
HSBC Flexi Cap Fund - Growth Direct,10.028,3.172,3.447,1.317,1.67,0.111,5.464,-0.192,-1.816,4.409,-0.399,4.948,1.792,-5.582,-3.278,5.473,-2.233,-2.049,5.776,3.321,-10.059,-2.733,2.169,0.733,-2.382,1.151,10.013,-3.495,1.556,-1.83,-8.793,0.075,6.374,3.718,1.787,1.858,2.751,-2.903,-26.935,16.621,4.89,7.098,4.995,6.126,1.069,1.151,12.15,6.167,2.769,3.482,0.54,-1.328,6.824,3.702,3.066,4.373,2.027,2.605,-1.401,3.029,-1.109,-6.602,5.701,-3.33,-4.854,-5.917,1.247,34.311,5.858,0.737
