scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Kotak Nifty 50 Index Fund - Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.619,0.683,7.444,2.644,2.343,-4.183,1.08,-0.214,-4.29,6.363,-3.169,-2.856,-4.509,0.055,15.403,3.925,0.049
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund-Direct Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.957,1.352,5.635,3.71,1.671,-4.792,1.836,0.52,-3.949,4.874,-1.052,-3.773,-4.61,0.036,12.799,3.578,0.035
Navi Nifty 50 Index Fund-Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.905,7.653,2.671,2.378,-4.217,1.1,-0.268,-4.298,6.385,-3.192,-2.864,-4.534,-0.008,17.221,4.15,-0.007
SBI Nifty Next 50 Index Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,2.573,1.958,5.466,1.486,0.297,-1.327,0.634,-1.751,-4.137,4.455,1.903,-8.859,-4.315,-0.021,14.406,3.796,-0.019
HDFC NIFTY50 Equal weight Index Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.327,3.73,1.69,-4.798,1.886,0.513,-3.965,4.841,-1.028,-3.78,-4.617,-0.109,13.802,3.715,-0.102
Edelweiss NIFTY PSU Bond Plus SDL Index Fund - 2027 - Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.211,1.003,-0.058,-0.337,1.241,0.468,-1.434,-1.536,0.529,-0.037,0.951,0.975,-0.131
Aditya Birla Sun Life Nifty SDL Plus PSU Bond SEP 2026 60:40 Index Fund-Direct Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096,-0.039,0.655,0.105,-0.378,1.029,0.415,-1.446,-1.371,0.544,-0.039,0.675,0.822,-0.164
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund-Direct Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.495,6.7,6.84,7.442,-3.781,3.83,-0.504,-3.811,4.638,-3.992,-12.882,7.451,-3.556,-9.68,-7.686,-0.366,44.667,6.683,-0.19
ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund - Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048,-0.116,0.901,0.059,-0.808,1.309,0.536,-1.374,-1.589,0.416,-0.071,0.891,0.944,-0.261
HDFC Developed World Indexes Fund of Funds - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.357,-1.489,3.178,-5.522,-1.204,4.51,-5.421,1.532,-6.563,-0.625,20.574,4.536,-0.477
Motilal Oswal MSCI Top 100 Select Index Fund - Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,-2.419,-1.379,3.931,-5.312,3.014,-8.157,-1.213,20.015,4.474,-0.939
Edelweiss Nifty 50 Index Fund Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.972,-4.158,1.078,-0.328,-4.59,6.434,-3.067,-2.835,-4.51,-1.223,13.287,3.645,-1.162
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.736,-1.298,-7.739,6.251,-0.71,-4.394,-5.231,-1.626,22.054,4.696,-1.199
Edelweiss Large & Midcap Index Fund - Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.783,-0.937,-5.987,6.214,-1.519,-4.071,-4.815,-1.476,17.127,4.139,-1.235
ICICI Prudential Nifty Smallcap 250 Index Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.146,4.999,-0.863,-10.05,7.795,-1.337,-7.061,-6.988,-2.206,38.032,6.167,-1.239
Axis Nifty 50 Index Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.658,-0.299,-4.316,6.25,-3.093,-2.797,-4.538,-1.35,13.906,3.729,-1.254
HDFC NIFTY Next 50 Index Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.909,0.643,-1.76,-4.137,4.343,1.874,-8.842,-4.329,-1.765,16.951,4.117,-1.485
Edelweiss Nifty 100 Quality 30 Index Fund Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.061,-3.204,3.657,-3.859,-2.743,3.58,-1.916,-2.834,-1.709,-1.343,8.328,2.886,-1.612
ICICI Prudential NASDAQ 100 Index Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,-0.166,1.893,-8.698,-3.928,4.458,-12.783,-2.568,-5.836,-2.75,32.359,5.688,-1.675
