scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Regular IDCW,7.361,1.505,-0.988,2.312,1.932,0.79,4.503,1.04,-1.765,5.987,0.349,5.073,1.19,-4.837,-9.135,5.337,-2.979,-4.678,6.471,1.085,-14.943,-1.858,2.41,-7.976,-4.288,-0.381,3.923,-0.184,3.336,-1.243,-8.633,1.772,7.164,4.579,0.35,0.872,2.593,-1.628,-24.803,16.2,2.306,4.303,5.894,5.441,1.423,1.491,11.044,6.061,-0.806,4.21,-5.174,1.719,6.565,4.586,2.487,2.52,1.045,3.528,-4.172,2.514,-0.71,-6.73,3.663,-1.674,-4.37,-4.172
BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan-Bonus,7.329,1.502,3.229,2.329,1.86,0.836,4.501,1.048,-1.757,5.932,0.355,5.09,1.191,-4.837,-2.34,5.347,-2.996,-4.659,6.511,1.054,-14.94,-1.876,2.445,0.55,-4.348,-0.318,6.792,-0.179,3.366,-1.238,-8.715,1.82,7.125,4.602,0.369,0.848,2.635,-1.611,-24.773,16.125,2.379,4.283,5.826,5.442,1.413,1.422,10.99,6.072,-0.808,4.215,1.356,1.746,6.571,4.629,4.107,2.483,1.083,3.504,-4.14,2.489,-0.741,-6.686,3.684,-1.665,-4.404,-4.172
BANK OF INDIA MID & SMALL CAP EQUITY & DEBT FUND - DIRECT PLAN GROWTH,5.258,3.11,3.565,2.8,1.101,0.67,2.985,3.221,0.858,6.432,2.518,4.632,-1.543,-0.954,-1.788,2.26,-3.836,-4.339,4.696,1.402,-11.634,-1.332,1.112,0.939,-4.341,0.972,6.902,-2.252,2.941,-7.669,-8.795,1.786,4.854,3.956,0.243,0.405,6.774,1.072,-20.107,11.77,0.873,2.509,5.907,7.984,5.417,-0.278,9.554,4.838,-0.85,6.552,4.08,3.755,4.167,8.759,6.704,0.517,1.931,0.842,0.626,5.765,-2.417,-7.871,6.217,-1.842,-6.134,-5.416
BANK OF INDIA MID & SMALL CAP EQUITY & DEBT FUND - DIRECT PLAN IDCW,5.274,3.119,3.483,2.809,1.105,-6.134,2.944,3.206,0.84,6.43,2.479,4.611,-1.517,-0.954,-7.259,2.187,-3.84,-4.233,4.686,1.439,-11.69,-1.342,1.179,0.893,-4.248,0.924,6.868,-2.228,2.913,-7.639,-8.736,1.731,4.834,3.939,0.277,0.37,6.722,1.049,-20.087,11.803,0.897,2.47,5.979,8.04,5.435,-0.317,9.562,4.873,-0.902,6.578,4.071,3.785,4.219,2.95,5.281,0.528,1.942,0.824,0.613,5.736,-2.433,-7.873,6.17,-1.854,-6.121,-5.425
BANK OF INDIA MID & SMALL CAP EQUITY & DEBT FUND - REGULAR  PLAN  GROWTH,5.184,3.033,3.404,2.822,1.11,0.591,2.843,3.171,0.788,6.429,2.475,4.545,-1.63,-0.967,-1.813,2.224,-3.893,-4.407,4.623,1.354,-11.769,-1.358,1.053,0.879,-4.355,0.828,6.814,-2.383,2.855,-7.787,-8.779,1.65,4.714,3.896,0.167,0.334,6.65,1.027,-20.126,11.66,0.903,2.415,5.764,7.944,5.387,-0.432,9.486,4.828,-0.946,6.497,4.007,3.68,4.123,8.659,6.657,0.496,1.883,0.748,0.568,5.691,-2.493,-7.921,6.116,-1.892,-6.186,-5.511
BANK OF INDIA MID & SMALL CAP EQUITY & DEBT FUND - REGULAR  PLAN IDCW,5.184,3.033,3.404,2.822,1.11,-5.659,2.765,3.212,0.757,6.364,2.486,4.549,-1.595,-0.958,-7.366,2.201,-3.941,-4.344,4.553,1.371,-11.722,-1.355,1.007,0.813,-4.301,0.843,6.778,-2.348,2.87,-7.679,-8.885,1.763,4.718,3.918,0.189,0.283,6.679,0.983,-20.179,11.745,0.816,2.429,5.83,7.97,5.408,-0.407,9.5,4.787,-0.928,6.484,3.992,3.709,4.104,8.662,2.254,0.478,1.852,0.779,0.567,5.689,-2.507,-7.913,6.085,-1.878,-6.204,-5.503
BANK OF INDIA Manufacturing & Infrastructure Fund-Direct Plan-Growth,8.489,1.22,6.312,3.574,-0.574,-0.577,1.851,2.13,0.859,10.33,2.504,7.169,-0.446,-0.348,-2.897,3.864,-6.676,-8.407,5.501,1.63,-13.832,-2.873,1.286,-0.126,-5.06,2.065,10.574,-2.538,6.509,-3.399,-11.202,-0.198,8.602,2.908,-1.984,0.799,5.302,-1.305,-21.104,14.297,2.346,6.743,3.853,8.429,0.611,-0.662,13.389,5.385,2.297,9.945,2.876,1.094,4.866,5.809,4.563,0.81,2.847,1.856,0.192,4.403,-0.694,-7.533,5.148,-0.499,-5.369,-5.674
BANK OF INDIA Manufacturing & Infrastructure Fund-Direct Plan-Quarterly IDCW,8.425,1.162,6.246,3.552,-0.646,-0.52,1.811,2.097,0.871,10.238,2.598,7.112,-0.503,-0.303,-2.941,3.874,-6.729,-8.435,5.53,1.6,-13.887,-2.857,1.307,-0.128,-5.077,2.099,10.544,-2.519,6.555,-3.397,-11.204,-0.201,8.607,2.893,-2.017,0.811,5.263,-1.326,-21.134,14.297,2.314,6.717,3.918,8.446,0.621,-0.673,13.383,5.374,2.288,9.925,2.883,1.112,4.867,5.792,4.605,0.824,2.861,1.854,0.195,4.38,-0.675,-7.538,5.168,-0.507,-5.396,-5.67
BANK OF INDIA Manufacturing & Infrastructure Fund-Direct Plan-Regular IDCW,8.432,1.163,2.514,3.544,-0.67,-0.539,1.811,2.042,0.839,10.303,2.636,7.147,-0.99,-0.316,-2.957,3.82,-6.698,-8.448,5.515,1.608,-13.887,-2.908,1.293,-0.134,-5.087,2.116,10.497,-2.5,6.504,-3.359,-11.235,-0.21,8.606,2.881,-2.037,0.78,5.29,-1.319,-21.13,14.332,2.339,6.714,3.949,8.482,0.588,-0.643,13.345,5.39,2.284,9.951,2.87,1.116,4.904,5.793,4.569,0.823,2.838,1.828,0.203,4.429,-0.671,-7.561,5.175,-0.528,-5.387,-5.694
BANK OF INDIA Manufacturing & Infrastructure Fund-Growth,8.388,1.127,6.166,3.542,-0.67,-0.674,1.679,1.982,0.777,10.152,2.477,7.026,-0.578,-0.37,-3.022,3.789,-6.791,-8.509,5.44,1.565,-13.916,-3.006,1.24,-0.203,-5.156,2.003,10.379,-2.605,6.426,-3.482,-11.329,-0.286,8.509,2.815,-2.151,0.667,5.166,-1.356,-21.202,14.166,2.184,6.632,3.801,8.306,0.548,-0.787,13.292,5.269,2.167,9.848,2.759,1.029,4.766,5.718,4.461,0.711,2.75,1.736,0.071,4.298,-0.773,-7.625,5.015,-0.593,-5.481,-5.762
