scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
SBI Magnum MIDCAP FUND - REGULAR PLAN - GROWTH,5.733,3.018,3.783,2.922,-0.509,0.818,0.848,-1.549,-0.353,4.513,3.787,4.48,-3.117,-2.981,-2.647,3.917,-7.798,-4.866,4.284,3.666,-11.612,-0.921,1.983,1.785,-1.875,0.149,7.677,-3.244,1.977,-0.811,-9.848,-0.021,3.555,4.754,1.082,0.107,7.614,-3.614,-28.588,14.42,4.714,9.923,4.62,4.408,2.998,1.369,13.78,7.491,1.801,11.982,1.577,1.125,2.69,6.412,4.325,1.612,2.225,3.877,0.185,2.52,-0.892,-6.004,3.223,3.06,-4.341,-3.785
SBI Magnum MidCap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),5.732,3.018,3.783,2.922,-0.509,0.818,0.848,-1.549,-0.353,4.512,3.787,4.479,-3.117,-2.982,-7.732,3.917,-7.797,-4.866,4.284,3.666,-11.612,-0.92,1.983,1.785,-1.875,0.149,7.676,-3.244,1.977,-0.812,-9.848,-0.021,3.555,4.753,1.081,0.107,7.614,-3.614,-28.587,14.419,4.714,9.923,4.62,4.407,2.998,1.368,13.779,7.491,1.801,11.982,1.577,1.125,2.69,6.412,4.325,1.612,2.225,3.877,0.184,2.52,-0.892,-6.004,3.223,3.06,-4.341,-3.785
SBI Small Cap Fund - Direct Plan - Growth,7.004,4.325,3.749,3.952,-0.636,3.939,3.679,1.693,4.666,6.793,10.065,7.637,-2.319,-3.787,-6.614,5.432,-7.279,-6.588,5.786,5.449,-11.711,-1.559,1.313,1.977,-4.684,0.282,9.205,-1.948,2.687,-2.535,-7.224,2.08,7.083,4.178,0.005,-0.288,6.683,-2.36,-26.345,12.849,2.837,7.473,4.238,11.268,2.86,-0.105,15.568,6.827,0.6,9.392,1.836,2.243,6.371,4.051,4.182,-0.415,4.994,2.992,0.232,1.739,-0.822,-5.98,4.623,1.368,-2.266,-5.127
SBI Small Cap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),7.003,4.324,3.749,3.951,-0.635,3.94,3.678,1.692,4.665,6.792,10.064,7.637,-2.319,-3.787,-26.62,5.431,-7.278,-6.588,5.788,5.446,-11.71,-1.55,1.31,1.976,-4.683,0.285,9.196,-1.95,2.689,-2.535,-7.222,2.08,7.08,4.177,0.004,-0.288,6.681,-2.361,-26.339,12.841,2.839,7.468,4.237,11.269,2.859,-0.105,15.559,6.828,0.6,9.392,1.836,2.243,6.371,4.051,4.182,-0.415,4.994,2.992,0.232,1.738,-0.822,-5.98,4.623,1.368,-2.266,-5.127
SBI Small Cap Fund - Regular Plan - Growth,6.919,4.244,3.667,3.876,-0.722,3.863,3.601,1.608,4.584,6.704,9.972,7.55,-2.396,-3.857,-6.695,5.338,-7.382,-6.685,5.659,5.319,-11.794,-1.648,1.222,1.879,-4.78,0.195,9.08,-2.04,2.596,-2.622,-7.317,1.983,6.976,4.066,-0.094,-0.391,6.569,-2.443,-26.408,12.722,2.737,7.348,4.128,11.182,2.782,-0.177,15.475,6.735,0.507,9.305,1.75,2.144,6.273,3.955,4.089,-0.493,4.912,2.909,0.154,1.659,-0.9,-6.058,4.515,1.273,-2.345,-5.183
SBI Small Cap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),6.919,4.249,3.667,3.875,-0.721,3.863,3.601,1.605,4.583,6.703,9.973,7.549,-2.398,-3.858,-26.702,5.337,-7.382,-6.686,5.657,5.318,-11.792,-1.646,1.222,1.878,-4.779,0.196,9.078,-2.04,2.597,-2.622,-7.316,1.982,6.976,4.065,-0.094,-0.39,6.568,-2.443,-26.409,12.72,2.737,7.345,4.128,11.181,2.782,-0.177,15.476,6.734,0.507,9.305,1.75,2.144,6.273,3.954,4.09,-0.493,4.912,2.909,0.153,1.659,-0.899,-6.058,4.516,1.273,-2.345,-5.183
SBI CONTRA FUND - DIRECT PLAN - GROWTH,5.698,4.778,3.443,1.885,2.013,1.087,4.582,-0.608,-1.667,7.729,0.425,4.238,1.317,-4.497,-5.249,4.794,-3.918,-3.936,3.317,4.561,-10.124,0.105,-0.403,1.83,-1.759,0.413,7.963,-0.102,-0.073,-3.16,-10.0,-0.66,5.108,3.791,1.071,-0.432,1.681,-3.905,-24.355,16.107,4.087,9.347,6.692,6.69,0.95,1.278,15.053,10.3,5.295,7.421,1.052,-0.398,8.064,3.259,5.156,0.753,5.522,3.137,-1.221,2.419,-0.474,-6.062,5.909,1.514,-2.866,-2.86
SBI Contra Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),5.698,4.779,3.444,1.881,2.013,-9.157,4.582,-0.608,-1.667,7.729,0.425,4.24,1.316,-4.495,-15.172,4.791,-3.918,-3.935,3.319,4.561,-10.125,0.105,-0.403,1.833,-1.759,0.414,7.962,-0.102,-0.073,-3.16,-10.0,-0.66,5.11,3.789,1.071,-0.432,1.681,-3.905,-24.358,16.105,4.085,9.347,6.692,6.69,0.95,1.277,15.053,10.307,5.295,7.421,1.053,-0.398,8.064,3.26,5.156,0.753,5.521,3.138,-1.222,2.419,-0.474,-6.062,5.909,1.514,-2.866,-2.86
SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),5.664,4.735,3.391,1.825,1.946,-9.13,4.535,-0.654,-1.708,7.68,0.379,4.191,1.266,-4.54,-15.201,4.714,-4.002,-4.006,3.253,4.486,-10.183,0.033,-0.463,1.782,-1.809,0.378,7.91,-0.142,-0.104,-3.203,-10.046,-0.706,5.062,3.739,1.024,-0.484,1.63,-3.941,-24.381,16.051,4.037,9.293,6.643,6.64,0.899,1.228,14.997,10.247,5.238,7.367,0.997,-0.447,8.01,3.194,5.091,0.688,5.458,3.083,-1.283,2.351,-0.535,-6.121,5.832,1.453,-2.919,-2.902
SBI CONTRA FUND - REGULAR PLAN -GROWTH,5.663,4.735,3.392,1.825,1.946,1.038,4.535,-0.654,-1.708,7.679,0.38,4.192,1.266,-4.54,-5.322,4.714,-4.002,-4.006,3.253,4.486,-10.183,0.033,-0.463,1.783,-1.809,0.378,7.911,-0.143,-0.105,-3.203,-10.046,-0.706,5.062,3.739,1.024,-0.485,1.63,-3.941,-24.381,16.05,4.037,9.293,6.643,6.64,0.899,1.228,14.998,10.245,5.238,7.365,0.997,-0.447,8.01,3.195,5.09,0.687,5.458,3.083,-1.283,2.351,-0.535,-6.121,5.832,1.452,-2.919,-2.902
SBI Focused Equity Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),5.007,3.764,3.304,-7.931,1.146,3.202,3.947,0.559,-0.019,3.848,6.605,4.428,-0.408,-2.962,-11.643,5.053,-1.695,-3.713,4.795,3.495,-9.323,-1.142,2.744,3.135,-3.516,1.901,8.594,0.318,3.344,-1.497,-5.373,-1.778,7.699,4.456,1.824,0.669,3.054,-1.054,-23.525,11.445,4.342,5.691,2.718,7.522,-3.767,2.014,13.766,5.079,-0.766,6.506,1.236,1.738,5.031,4.104,3.08,6.884,3.178,5.248,0.996,-0.66,-5.425,-3.425,2.538,-3.777,-4.113,-3.689
SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,5.006,3.764,3.304,1.098,1.147,3.202,3.947,0.559,-0.019,3.847,6.605,4.428,-0.407,-2.961,-1.758,5.056,-1.699,-3.714,4.794,3.495,-9.324,-1.143,2.708,3.134,-3.517,1.901,8.594,0.318,3.344,-1.497,-5.373,-1.778,7.699,4.456,1.824,0.669,3.055,-1.054,-23.523,11.443,4.344,5.677,2.718,7.523,-3.767,2.014,13.766,5.077,-0.765,6.506,1.235,1.738,5.031,4.104,3.08,6.884,3.178,5.245,0.995,-0.66,-5.425,-3.425,2.538,-3.777,-4.113,-3.689
SBI Focused Equity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),4.939,3.701,3.243,-8.081,1.066,3.139,3.877,0.484,-0.088,3.771,6.521,4.343,-0.49,-3.036,-11.855,4.96,-1.79,-3.801,4.694,3.407,-9.394,-1.226,2.634,3.048,-3.602,1.827,8.517,0.243,3.28,-1.563,-5.45,-1.853,7.613,4.363,1.742,0.585,2.966,-1.125,-23.582,11.336,4.252,5.581,2.626,7.442,-3.842,1.931,13.673,4.976,-0.859,6.422,1.139,1.646,4.942,4.012,2.994,6.798,3.09,5.151,0.902,-0.748,-5.504,-3.505,2.436,-3.857,-4.186,-3.761
SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,4.94,3.701,3.243,1.033,1.068,3.139,3.877,0.484,-0.088,3.77,6.521,4.343,-0.49,-3.035,-1.838,4.965,-1.795,-3.804,4.694,3.407,-9.392,-1.224,2.633,3.048,-3.602,1.827,8.517,0.243,3.28,-1.563,-5.451,-1.853,7.613,4.363,1.742,0.585,2.966,-1.125,-23.584,11.339,4.253,5.582,2.626,7.443,-3.842,1.931,13.672,4.977,-0.859,6.421,1.139,1.646,4.942,4.012,2.993,6.798,3.09,5.151,0.902,-0.748,-5.504,-3.505,2.436,-3.857,-4.186,-3.761
