scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Quantum Nifty 50 ETF,6.562,2.705,2.641,1.395,3.386,-0.686,5.423,-1.302,-1.838,5.978,-3.047,3.076,5.577,-4.94,-10.162,5.153,-0.008,0.396,6.666,3.086,-4.893,-5.595,4.768,0.296,-0.103,-0.147,7.481,0.673,1.813,-1.643,-7.188,0.575,5.176,4.84,1.384,1.115,-1.8,-4.306,-25.849,19.398,5.814,6.185,6.357,5.427,-0.435,2.149,12.352,6.945,1.89,3.503,0.752,-1.556,6.606,0.905,0.694,7.526,2.7,2.426,-4.225,1.107,-0.261,-4.289,6.413,-3.182,-2.818,-4.509
Quantum Equity Fund of Funds - Direct Plan Growth Option,6.891,3.133,2.946,2.672,1.592,-0.006,4.321,-0.03,-1.49,6.476,-1.063,4.019,0.712,-4.338,-2.814,4.43,-1.907,-1.759,4.393,3.637,-7.384,-2.535,2.888,1.005,-1.747,0.033,6.896,-0.849,2.214,-1.276,-7.037,0.454,5.286,4.833,0.884,0.643,0.915,-3.168,-25.325,15.89,4.667,5.355,4.727,5.514,0.995,0.512,11.169,6.073,1.801,4.807,0.735,-0.937,5.179,3.572,2.932,4.357,2.069,2.743,-3.253,1.985,-1.643,-5.438,4.705,-2.761,-3.556,-4.255
Quantum Equity Fund Of Funds - Direct Plan IDCW,6.891,3.133,2.946,2.672,1.588,-0.006,4.325,-0.03,-1.49,6.476,-1.063,4.019,0.712,-4.338,-2.814,4.43,-1.907,-1.759,4.393,3.637,-7.387,-2.532,2.888,1.005,-1.747,0.033,6.896,-0.849,2.214,-1.276,-7.037,0.454,5.286,4.833,0.884,0.64,0.918,-3.168,-25.325,15.89,4.667,5.355,4.727,5.514,0.995,0.512,11.169,6.07,1.803,4.805,0.737,-0.937,5.179,3.572,2.932,4.355,2.069,2.743,-3.253,1.985,-1.643,-5.438,4.705,-2.761,-3.556,-4.255
Quantum Gold Savings Fund - Direct Plan Growth Option,3.131,1.988,-3.038,0.745,0.376,-1.484,0.765,3.109,-0.27,-0.528,-0.16,0.544,2.711,0.012,1.171,1.532,-0.55,-1.486,-2.348,1.778,0.841,4.223,-4.436,3.695,4.671,-1.426,-3.248,0.051,1.882,3.462,3.009,11.005,-5.223,4.847,-2.255,2.612,4.375,4.007,3.466,9.18,-1.558,4.351,9.576,-3.797,-3.028,0.534,-5.104,3.555,-3.443,-5.44,-2.246,3.853,5.03,-4.319,2.334,-1.33,-1.798,2.642,-0.198,0.696,-0.514,4.74,0.364,0.494,-1.533,1.906
Quantum Multi Asset Fund of Funds - Direct Plan Growth Option,2.754,0.688,0.8,0.611,1.426,-0.449,1.948,0.297,-0.098,1.664,-0.732,1.226,1.444,-1.085,-0.62,1.757,-0.302,0.153,0.781,1.677,-0.424,0.197,0.251,1.229,0.352,0.248,1.563,0.152,1.016,0.222,-1.073,1.534,-0.385,2.614,-0.033,0.884,0.42,-0.649,-8.537,10.019,1.991,2.788,3.953,1.252,-0.373,0.962,3.115,2.301,0.391,0.402,0.153,0.598,2.53,-0.11,0.88,1.356,0.42,1.11,-0.995,0.642,-0.058,-0.48,2.243,-0.711,-1.03,-0.962
Quantum Long Term Equity Value Fund - Regular Plan Growth Option,Quantum Long Term Equity Value Fund - Regular Plan Growth Option,Quantum Long Term Equity Value Fund - Regular Plan Growth Option,Quantum Long Term Equity Value Fund - Regular Plan Growth Option,0.722,2.224,-1.837,4.4,-1.301,-0.177,4.445,-2.475,2.807,2.861,-4.217,-3.853,3.914,-1.639,0.23,2.666,3.867,-2.42,-2.591,1.083,1.347,-2.178,0.943,4.523,-0.536,1.39,-2.092,-6.481,-1.478,-0.218,5.402,0.132,0.851,-1.593,-5.832,-25.475,18.452,5.124,4.496,6.816,4.712,0.695,2.417,12.86,4.787,4.568,4.4,1.137,-0.929,7.007,1.329,1.703,2.977,1.393,2.93,-5.617,1.023,0.829,-5.558,6.188,-2.162,-1.469,-3.913
Quantum Long Term Equity Value Fund - Regular Plan IDCW,Quantum Long Term Equity Value Fund - Regular Plan IDCW,Quantum Long Term Equity Value Fund - Regular Plan IDCW,Quantum Long Term Equity Value Fund - Regular Plan IDCW,0.696,2.045,-1.825,4.392,-1.293,-0.176,4.455,-2.496,2.846,2.879,-4.225,-3.845,3.888,-1.629,0.228,2.668,3.88,-2.476,-2.594,1.077,1.339,-2.166,0.938,4.516,-0.533,1.382,-2.097,-6.48,-1.47,-0.217,5.411,0.131,0.846,-1.602,-5.837,-25.478,18.489,5.145,4.47,6.823,4.706,0.712,2.403,12.865,4.794,4.558,4.407,1.146,-0.939,6.996,1.322,1.707,2.988,1.371,2.94,-5.623,1.018,0.824,-5.553,6.194,-2.176,-1.488,-3.905
Quantum Tax Saving Fund - Regular Plan Growth Option,Quantum Tax Saving Fund - Regular Plan Growth Option,Quantum Tax Saving Fund - Regular Plan Growth Option,Quantum Tax Saving Fund - Regular Plan Growth Option,0.708,2.288,-1.894,4.442,-1.372,-0.219,4.766,-2.737,2.969,3.053,-4.444,-3.981,4.127,-1.727,0.193,2.846,4.122,-2.524,-2.832,1.054,1.322,-2.162,0.934,4.511,-0.488,1.459,-2.11,-6.504,-1.434,-0.22,5.351,0.133,0.801,-1.552,-5.763,-24.995,18.36,5.131,4.43,6.783,4.42,0.74,2.366,12.748,4.746,4.531,4.351,1.13,-0.695,6.705,1.411,1.784,2.968,1.214,2.808,-5.63,1.019,0.89,-5.251,5.968,-2.019,-1.302,-3.82
Quantum Tax Saving Fund - Regular Plan IDCW,Quantum Tax Saving Fund - Regular Plan IDCW,Quantum Tax Saving Fund - Regular Plan IDCW,Quantum Tax Saving Fund - Regular Plan IDCW,0.687,2.288,-1.894,4.442,-1.372,-0.199,4.766,-2.737,2.969,3.053,-4.444,-3.981,4.108,-1.709,0.193,2.846,4.122,-2.524,-2.832,1.054,1.322,-2.162,0.934,4.511,-0.488,1.459,-2.11,-6.504,-1.434,-0.22,5.351,0.133,0.801,-1.552,-5.763,-24.979,18.36,5.131,4.43,6.783,4.42,0.74,2.366,12.748,4.746,4.531,4.351,1.13,-0.695,6.705,1.411,1.784,2.968,1.214,2.808,-5.63,1.019,0.89,-5.251,5.968,-2.019,-1.302,-3.82
Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,-0.045,0.038,-0.009,0.007,Quantum Liquid Fund - Regular Plan Daily IDCW,0.031,-0.031,0.016,-0.016,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,-0.022,Quantum Liquid Fund - Regular Plan Daily IDCW,-0.01,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,Quantum Liquid Fund - Regular Plan Daily IDCW,-0.008,0.005
