scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,8.066,2.879,3.599,4.36,0.518,-1.637,4.26,0.07,-0.586,5.274,-1.453,4.356,-1.009,-4.355,-2.122,4.897,-3.112,-2.326,5.476,2.899,-9.645,-3.333,2.652,1.213,0.533,-0.571,6.855,-0.326,3.432,-1.293,-7.558,0.836,4.282,4.886,-0.132,1.2,1.195,-2.137,-23.86,14.88,4.671,3.967,6.72,5.552,-0.333,1.355,13.54,6.036,1.139,8.286,0.537,0.549,5.555,4.05,5.95,3.208,5.328,4.456,-3.595,4.441,-1.794,-6.964,8.272,-4.822,-5.475,-4.489
Baroda BNP Paribas MULTI CAP FUND - Direct Plan - IDCW Option,8.066,2.884,-3.757,4.335,0.514,-1.618,4.258,0.082,-0.603,5.285,-1.456,4.355,-1.012,-4.343,-11.512,4.898,-3.134,-2.315,5.484,2.889,-9.635,-3.346,2.653,1.201,0.562,-0.59,-2.187,-0.319,3.424,-1.302,-7.535,0.815,4.287,4.9,-0.125,1.196,1.213,-2.124,-32.843,14.905,4.704,3.952,6.723,5.572,-0.359,1.369,13.556,6.047,1.14,8.268,-7.076,0.546,5.487,4.037,5.964,3.211,5.326,4.453,-3.599,4.444,-1.812,-6.951,4.507,-5.325,-5.946,-4.963
Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option,7.979,2.787,3.483,4.286,0.43,-1.712,4.172,-0.021,-0.662,5.178,-1.526,4.279,-1.083,-4.439,-2.211,4.823,-3.184,-2.4,5.394,2.808,-9.719,-3.434,2.538,1.116,0.454,-0.646,6.786,-0.365,3.378,-1.36,-7.604,0.768,4.229,4.791,-0.2,1.136,1.133,-2.187,-23.92,14.826,4.617,3.907,6.66,5.485,-0.397,1.298,13.467,5.961,1.055,8.222,0.456,0.492,5.487,3.989,5.88,3.124,5.25,4.373,-3.675,4.368,-1.863,-7.024,8.192,-4.89,-5.554,-4.574
Baroda BNP Paribas MULTI CAP FUND - Regular Plan - IDCW Option,7.989,2.778,-3.755,4.267,0.422,-1.708,4.146,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - IDCW Option,-0.677,5.175,-1.52,4.264,-1.079,-4.438,-11.545,4.809,-3.175,-2.393,5.404,2.794,-9.701,-3.435,2.523,1.108,0.469,-0.654,-2.289,-0.353,3.376,-1.371,-7.612,0.786,4.214,4.806,-0.19,1.144,1.131,-2.21,-32.967,14.817,4.594,3.927,6.623,5.508,-0.402,1.283,13.441,5.972,1.044,8.233,-7.334,0.5,5.474,3.997,5.871,3.119,5.25,4.391,-3.678,4.367,-1.866,-7.029,5.058,-5.387,-6.037,-5.035
Baroda Large cap Fund - Plan A - Growth Option,7.952,1.281,1.818,1.703,1.445,-1.949,4.542,-1.376,-2.863,6.466,-4.449,4.065,2.344,-5.829,-3.39,5.291,-1.302,-0.073,6.397,2.903,-6.929,-3.869,3.948,Baroda Large cap Fund - Plan A - Growth Option,1.17,-1.59,6.902,0.618,2.61,-1.127,-7.847,1.019,6.544,4.141,0.861,0.591,Baroda Large cap Fund - Plan A - Growth Option,-3.389,-22.674,15.419,5.203,4.405,6.218,3.819,-1.294,1.794,11.745,6.667,1.464,4.495,-0.212,-1.33,5.663,1.378,3.223,5.526,1.562,2.804,-6.027,2.06,-1.085,-4.525,-0.728,Baroda Large cap Fund - Plan A - Growth Option,Baroda Large cap Fund - Plan A - Growth Option,Baroda Large cap Fund - Plan A - Growth Option
Baroda Large cap Fund - Plan A - IDCW Option,7.887,1.305,1.89,1.682,1.488,-1.954,4.523,-1.416,-2.873,6.454,-4.451,4.096,2.392,-5.878,-9.448,5.254,-1.257,-0.085,6.394,2.885,-6.929,-3.807,3.87,Baroda Large cap Fund - Plan A - IDCW Option,1.186,-1.591,-1.447,0.604,2.591,-1.084,-7.841,1.006,6.47,4.253,0.833,0.661,Baroda Large cap Fund - Plan A - IDCW Option,-3.342,-22.704,15.471,5.107,4.47,6.14,3.822,-1.284,1.735,11.814,6.642,1.415,4.536,-7.677,-1.374,5.645,1.388,3.217,5.534,1.498,2.829,-6.041,2.101,-1.045,-4.534,-0.696,Baroda Large cap Fund - Plan A - IDCW Option,Baroda Large cap Fund - Plan A - IDCW Option,Baroda Large cap Fund - Plan A - IDCW Option
Baroda Large cap Fund - Plan B (Direct) - Growth Option,8.017,1.328,1.928,1.658,1.48,-1.823,4.709,-1.335,-2.778,6.482,-4.309,4.217,2.401,-5.76,-3.34,5.321,-1.254,Baroda Large cap Fund - Plan B (Direct) - Growth Option,6.516,2.926,-6.858,-3.787,4.009,0.07,1.262,-1.524,6.962,0.657,2.696,-1.078,-7.821,1.113,6.601,4.282,0.884,0.688,Baroda Large cap Fund - Plan B (Direct) - Growth Option,-3.413,-22.674,15.424,5.174,4.552,6.25,3.89,-1.291,1.831,11.817,6.705,1.544,4.615,-0.15,-1.255,5.643,1.444,3.368,5.657,1.598,2.89,-5.948,2.196,-1.017,-4.45,-0.684,Baroda Large cap Fund - Plan B (Direct) - Growth Option,Baroda Large cap Fund - Plan B (Direct) - Growth Option,Baroda Large cap Fund - Plan B (Direct) - Growth Option
Baroda Large cap Fund - Plan B (Direct) - IDCW Option,7.96,1.441,1.838,1.634,1.525,-1.897,4.709,-1.296,-2.78,6.556,-4.374,4.186,2.455,-5.737,-9.245,5.383,-1.207,Baroda Large cap Fund - Plan B (Direct) - IDCW Option,6.454,2.993,-6.858,-3.803,4.037,0.081,1.214,-1.439,-1.054,0.656,2.621,-1.107,-7.834,1.127,6.562,4.269,0.945,0.624,0.078,-3.388,-22.631,15.417,5.197,4.483,6.305,3.93,-1.287,1.793,11.886,6.728,1.526,4.641,-7.183,-1.279,5.726,1.418,3.306,5.623,1.562,2.906,-5.925,2.178,-0.965,-4.472,-0.707,Baroda Large cap Fund - Plan B (Direct) - IDCW Option,Baroda Large cap Fund - Plan B (Direct) - IDCW Option,Baroda Large cap Fund - Plan B (Direct) - IDCW Option
Baroda Mid-cap Fund- Plan A - Growth Option,6.859,3.209,4.353,5.213,-2.806,0.115,3.089,0.666,-1.654,7.279,3.236,4.55,-2.708,-2.584,-1.327,6.537,-6.699,-3.122,4.531,2.374,-12.247,-1.615,0.586,2.787,-2.938,0.116,5.349,-2.318,3.986,-2.404,-6.047,-0.477,5.257,2.787,-1.13,0.917,6.136,-1.735,-24.142,14.161,5.836,5.639,4.745,7.111,2.845,0.205,13.878,4.211,0.516,8.811,1.808,0.309,4.857,8.235,5.503,1.464,5.897,3.614,-0.343,4.705,-3.266,-7.991,0.672,Baroda Mid-cap Fund- Plan A - Growth Option,Baroda Mid-cap Fund- Plan A - Growth Option,Baroda Mid-cap Fund- Plan A - Growth Option
Baroda Mid-cap Fund- Plan A - IDCW Option,6.859,3.209,4.353,5.213,-2.806,0.115,3.089,0.666,-1.654,7.279,3.236,4.55,-2.708,-2.584,-1.327,6.537,-6.699,-3.122,4.531,2.374,-12.247,-1.615,0.586,2.787,-2.938,0.116,5.349,-2.318,3.986,-2.404,-6.047,-0.477,5.257,2.787,-1.13,0.917,6.136,-1.735,-24.142,14.161,5.836,5.639,4.745,7.111,2.845,0.205,13.878,4.211,0.516,8.811,1.808,0.309,4.857,8.235,5.503,1.464,5.897,3.614,-0.343,4.705,-3.266,-7.991,0.672,Baroda Mid-cap Fund- Plan A - IDCW Option,Baroda Mid-cap Fund- Plan A - IDCW Option,Baroda Mid-cap Fund- Plan A - IDCW Option
