scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Union Liquid Fund - Direct Plan - Fortnightly IDCW Option,0.014,-0.089,0.062,0.008,0.017,-0.051,0.049,-0.052,0.037,0.015,-0.051,0.043,0.013,-0.071,0.126,-0.067,0.028,-0.017,0.012,-0.04,-3.098,0.609,0.571,0.594,0.58,0.525,0.324,-0.029,-0.014,0.009,0.013,-0.028,0.023,-0.006,-0.013,-0.009,-0.013,-0.007,0.068,-0.098,0.032,0.009,-0.008,0.02,-0.003,-0.011,-0.008,-0.003,0.023,-0.031,0.036,-0.027,0.022,-0.004,-0.005,0.007,-0.024,0.024,-0.007,-0.004,0.019,-0.031,0.041,-0.025,0.029,-0.021
Union Liquid Fund - Direct Plan - Growth Option,0.552,0.505,0.562,0.529,0.544,0.53,0.549,0.539,0.516,0.535,0.52,0.544,0.549,0.509,0.67,0.576,0.588,0.624,0.623,0.609,-2.836,0.611,0.572,0.594,0.58,0.525,0.616,0.586,0.619,0.533,0.565,0.505,0.455,0.462,0.428,0.437,0.437,0.409,0.648,0.443,0.44,0.317,0.271,0.295,0.265,0.282,0.259,0.261,0.248,0.259,0.293,0.269,0.277,0.281,0.287,0.288,0.26,0.27,0.297,0.297,0.301,0.274,0.323,0.302,0.322,0.398
Union Liquid Fund - Direct Plan - Monthly IDCW Option,0.015,-0.09,0.062,0.008,0.017,-0.051,0.049,-0.051,0.037,0.015,-0.051,0.043,0.012,-0.071,0.123,-0.064,0.028,-0.017,0.012,-0.04,-2.836,0.611,0.572,0.594,0.58,0.505,0.071,-0.029,-0.014,0.008,0.013,-0.028,0.023,-0.006,-0.013,-0.009,-0.013,-0.006,0.067,-0.099,0.032,0.009,-0.008,0.02,-0.003,-0.011,-0.008,-0.003,0.023,-0.031,0.035,-0.026,0.022,-0.004,-0.005,0.007,-0.024,0.024,-0.007,-0.004,0.019,-0.031,0.041,-0.026,0.029,-0.021
Union Liquid Fund - Direct Plan - Weekly IDCW Option,-0.074,-0.001,0.062,0.026,-0.07,0.019,-0.053,0.051,0.037,-0.071,0.035,0.043,-0.059,0.001,0.123,-0.019,-0.075,0.049,-0.086,0.058,-3.096,0.611,0.574,0.596,0.582,0.526,0.312,-0.125,0.083,0.023,-0.073,0.042,-0.075,0.034,0.046,-0.065,0.043,0.009,-0.056,0.011,0.026,-0.023,0.025,-0.036,0.025,0.018,0.014,-0.025,0.023,-0.001,-0.042,0.022,-0.033,0.021,0.025,-0.037,0.021,0.025,-0.044,0.033,-0.042,Union Liquid Fund - Direct Plan - Weekly IDCW Option,0.041,0.004,-0.033,0.041
Union Liquid Fund - Fortnightly IDCW Option,0.013,-0.087,0.06,0.008,0.016,-0.049,0.05,-0.051,0.035,0.014,-0.049,0.042,0.012,-0.069,0.126,-0.067,0.027,-0.017,0.012,-0.04,-3.1,0.604,0.566,0.586,0.571,0.515,0.362,-0.028,-0.014,0.008,0.012,-0.028,0.023,-0.006,-0.013,-0.009,-0.013,-0.006,0.066,-0.097,0.031,0.009,-0.007,0.02,-0.003,-0.011,-0.008,-0.002,0.023,-0.03,0.034,-0.026,0.022,-0.003,-0.005,0.006,-0.024,0.023,-0.007,-0.004,0.018,-0.03,0.041,-0.025,0.028,-0.02
Union Liquid Fund - Growth Option,0.539,0.493,0.545,0.513,0.53,0.517,0.537,0.534,0.507,0.521,0.51,0.535,0.542,0.503,0.666,0.574,0.584,0.616,0.615,0.601,-2.844,0.602,0.564,0.584,0.57,0.515,0.604,0.578,0.61,0.525,0.557,0.496,0.447,0.453,0.42,0.428,0.428,0.401,0.639,0.435,0.431,0.309,0.262,0.286,0.256,0.274,0.25,0.252,0.241,0.254,0.286,0.26,0.268,0.275,0.28,0.281,0.252,0.262,0.288,0.289,0.292,0.267,0.314,0.294,0.314,0.39
Union Liquid Fund - Monthly IDCW Option,0.013,-0.087,0.06,0.008,0.016,-0.049,0.05,-0.051,0.035,0.014,-0.049,0.042,0.012,-0.07,0.123,-0.064,0.027,-0.017,0.011,-0.04,-2.844,0.602,0.564,0.584,0.57,0.515,0.104,-0.028,-0.013,0.008,0.012,-0.028,0.023,-0.006,-0.013,-0.009,-0.013,-0.006,0.067,-0.098,0.031,0.009,-0.007,0.02,-0.003,-0.011,-0.008,-0.003,0.023,-0.03,0.034,-0.026,0.022,-0.003,-0.005,0.007,-0.024,0.023,-0.007,-0.004,0.018,-0.03,0.041,-0.026,0.028,-0.02
Union Liquid Fund - Weekly IDCW Option,-0.074,-0.001,0.06,0.026,-0.069,0.019,-0.052,0.051,0.035,-0.069,0.034,0.042,-0.059,0.001,0.123,-0.018,-0.076,0.048,-0.085,0.057,-3.101,0.602,0.564,0.584,0.571,0.515,0.37,-0.124,0.082,0.045,-0.071,0.042,-0.075,0.033,0.045,-0.064,0.042,0.008,-0.052,0.01,0.026,-0.022,0.024,-0.036,0.025,0.017,0.013,-0.024,0.023,-0.002,-0.044,0.023,-0.032,0.021,0.024,-0.037,0.02,0.023,-0.042,0.032,-0.041,Union Liquid Fund - Weekly IDCW Option,0.04,0.004,-0.032,0.04
Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,-0.049,0.047,0.002,-0.461,0.127,0.191,Union Short Term Fund - Daily Dividend Option,-0.034,Union Short Term Fund - Daily Dividend Option,0.103,0.31,0.3,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option,Union Short Term Fund - Daily Dividend Option
Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,-0.048,0.047,0.001,-0.454,0.138,0.171,Union Short Term Fund - Direct Plan - Daily Dividend Option,-0.033,Union Short Term Fund - Direct Plan - Daily Dividend Option,0.103,0.31,0.3,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option,Union Short Term Fund - Direct Plan - Daily Dividend Option
Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,-0.108,-0.016,0.052,0.044,0.048,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,-0.081,0.032,0.018,-0.117,0.021,0.022,-0.152,0.033,0.194,-0.784,0.139,0.176,0.003,-0.095,-0.027,0.143,0.331,0.212,0.006,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option,Union Short Term Fund - Direct Plan - Fortnightly Dividend Option
