scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Axis Small Cap Fund - Regular Plan - Growth,4.089,3.036,4.246,2.437,-0.605,2.274,1.57,-1.198,0.156,6.576,2.665,4.623,-4.011,-0.425,-2.418,3.318,-2.89,-4.791,3.58,4.559,-9.947,Axis Small Cap Fund - Regular Plan - Growth,2.154,3.1,-3.341,0.998,6.084,-0.43,5.7,-0.034,-6.453,5.693,4.962,4.893,-0.349,2.268,8.651,0.146,-29.847,12.647,2.343,4.767,5.231,8.252,4.186,1.049,12.146,5.216,1.163,6.375,3.972,3.639,6.909,5.873,6.564,1.685,3.368,0.921,1.2,3.808,-0.954,-6.02,6.01,-1.825,-4.003,-3.653
Axis Small Cap Fund - Regular Plan - IDCW,4.087,3.032,4.245,2.391,-0.629,2.306,1.573,-1.205,0.174,-2.425,2.708,4.624,-4.048,-0.43,-2.378,3.287,-2.913,-4.766,3.565,4.604,-9.906,Axis Small Cap Fund - Regular Plan - IDCW,2.142,3.116,-3.338,0.98,6.054,-0.392,5.702,-0.041,-6.473,5.723,4.968,4.854,-8.989,2.253,8.69,0.156,-36.801,12.624,2.328,4.772,5.244,8.3,4.201,1.019,12.175,5.191,1.159,6.393,-4.828,3.65,6.875,5.907,6.57,1.679,3.388,0.909,1.201,3.803,-0.95,-6.039,-2.654,-1.846,-3.985,-3.666
Axis Focused 25 Fund - Direct Plan - Growth Option,7.021,3.425,3.871,4.868,0.889,1.553,5.955,0.465,-0.27,3.117,0.224,4.654,1.032,-4.366,-1.362,7.56,-0.475,-0.171,6.869,1.791,-9.889,-4.995,5.257,1.69,-5.055,1.276,5.582,1.739,3.753,-1.018,-5.786,1.74,8.291,4.127,0.393,1.485,2.3,-1.917,-25.612,15.347,4.351,6.272,4.393,5.93,0.215,2.517,15.168,7.21,-1.821,3.808,-0.262,0.573,5.278,2.9,1.945,8.486,2.529,1.702,-3.064,-0.272,-5.509,-3.738,3.968,-3.837,-6.504,-5.835
Axis Focused 25 Fund - Direct Plan - IDCW,7.001,3.467,3.823,4.885,0.901,1.53,5.946,0.471,-0.313,3.078,0.227,4.676,1.009,-4.351,-1.38,7.544,-0.481,-0.173,6.888,1.781,-9.884,-5.021,5.249,1.676,-5.051,1.293,-1.276,1.773,3.739,-1.034,-5.745,1.699,8.315,4.128,0.393,1.477,2.297,-1.916,-29.702,15.356,4.346,6.247,4.42,5.937,0.211,2.533,15.184,7.188,-1.809,3.825,-8.897,0.569,5.285,2.905,1.918,8.511,2.508,1.703,-3.066,-0.268,-5.537,-3.721,-4.282,-3.858,-6.501,-5.831
Axis Focused 25 Fund - Regular Plan - Growth Option,6.938,3.345,3.776,4.798,0.759,1.461,5.854,0.369,-0.367,3.015,0.119,4.583,0.907,-4.455,-1.45,7.429,-0.579,-0.255,6.752,1.709,-9.969,-5.085,5.119,1.55,-5.173,1.177,5.469,1.618,3.618,-1.101,-5.846,1.589,8.179,4.003,0.329,1.385,2.18,-1.994,-25.643,15.248,4.226,6.16,4.297,5.824,0.101,2.428,15.035,7.079,-1.9,3.765,-0.342,0.475,5.183,2.812,1.816,8.4,2.416,1.615,-3.158,-0.346,-5.605,-3.785,3.883,-3.921,-6.604,-5.919
Axis Focused 25 Fund - Regular Plan - IDCW,6.899,-4.463,3.725,4.782,0.805,1.425,5.863,0.369,-0.368,2.991,0.153,4.578,0.924,-4.482,-11.554,7.422,-0.571,-0.261,6.754,1.667,-9.976,-5.081,5.125,1.573,-5.179,1.182,-5.008,1.64,3.631,-1.096,-5.873,1.589,8.196,4.033,0.314,1.366,2.176,-1.997,-32.861,15.246,4.229,6.121,4.277,5.864,0.06,2.44,15.009,7.132,-1.936,3.755,-8.817,0.458,5.202,2.784,1.822,8.375,2.436,1.599,-3.148,-0.333,-5.613,-3.804,-4.412,-3.894,-6.62,-5.908
Axis Long Term Equity Fund - Direct Plan - Growth Option,6.37,2.132,4.593,2.339,1.525,1.18,5.403,-0.307,0.506,3.306,-0.033,3.833,1.926,-3.157,-1.42,6.011,-0.279,-1.029,5.494,2.645,-9.646,-2.934,5.626,1.132,-4.516,1.522,5.773,1.117,3.837,-0.885,-5.877,1.789,7.449,5.46,-1.104,2.264,2.021,-2.039,-23.724,14.814,3.708,3.616,2.898,6.625,-0.025,2.721,14.397,7.394,-2.602,5.281,0.606,-0.165,4.909,3.9,1.498,8.349,1.285,1.361,-2.665,-0.011,-5.51,-4.364,3.444,-2.763,-7.115,-5.44
Axis Long Term Equity Fund - Direct Plan - IDCW,6.369,2.131,4.591,2.338,1.526,1.179,5.403,-0.307,0.504,3.306,-0.033,3.832,1.925,-3.157,-5.566,6.009,-0.278,-1.024,5.494,2.644,-9.645,-2.935,5.624,1.131,-8.507,1.522,5.771,1.116,3.836,-0.885,-5.882,1.789,7.448,5.46,-1.104,2.264,-6.192,-2.042,-23.719,14.814,3.708,3.616,2.898,6.625,-0.025,2.721,14.397,7.393,-2.602,-1.285,0.606,-0.165,4.909,3.9,1.498,8.349,1.285,1.361,-2.665,-0.011,-5.51,-11.125,3.444,-2.763,-7.116,-5.44
Axis Long Term Equity Fund - Regular Plan - Growth,6.272,2.044,4.498,2.26,1.433,1.09,5.308,-0.402,0.417,3.214,-0.125,3.733,1.827,-3.237,-1.48,5.942,-0.359,-1.103,5.409,2.558,-9.715,-3.021,5.529,1.041,-4.591,1.45,5.688,1.027,3.747,-0.951,-5.943,1.722,7.38,5.387,-1.161,2.203,1.961,-2.091,-23.772,14.742,3.644,3.548,2.83,6.555,-0.093,2.653,14.317,7.315,-2.676,5.21,0.527,-0.235,4.835,3.826,1.428,8.279,1.221,1.293,-2.732,-0.081,-5.574,-4.426,3.367,-2.828,-7.179,-5.501
Axis Long Term Equity Fund - Regular Plan - IDCW,-4.922,2.044,4.498,2.26,1.433,1.09,5.309,-0.402,0.416,3.213,-0.125,3.732,1.827,-3.237,-12.163,5.942,-0.358,-1.104,5.409,2.558,-9.715,-3.021,5.529,1.04,-14.853,1.45,5.688,1.026,3.747,-0.954,-5.943,1.723,7.38,5.386,-1.161,2.203,-7.246,-2.091,-23.766,14.742,3.643,3.548,2.829,6.554,-0.093,2.653,14.317,7.315,-2.676,-4.061,0.527,-0.235,4.836,3.825,1.429,8.279,1.221,1.293,-2.732,-0.081,-5.574,-12.836,3.367,-2.828,-7.179,-5.5
