scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,0.263,0.122,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,-0.021,0.021,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,-0.027,0.408,0.64,0.7,0.55,0.394,0.62,0.804,0.348,-0.034,0.034,0.041,-0.021,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,-0.04,-0.014,-0.028,-0.095,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,-0.073,-0.016,-0.018,-1.159,-0.429,-0.024,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,-0.035,-0.076,-0.038,-0.011,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,-0.028,-0.151,-0.047,-0.004,-0.005,Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW,0.233,0.426,0.442,0.199,0.237,0.356,-4.348,0.24,0.356,0.408,0.128,-0.067,0.42
Mahindra Manulife Low Duration Fund - Direct Plan - Monthly IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Monthly IDCW,0.263,0.651,0.455,0.611,0.627,0.659,0.6,0.439,0.511,0.466,0.392,0.468,0.509,0.751,0.235,0.398,0.64,0.696,0.549,0.394,0.62,0.804,-0.031,-0.119,0.058,0.143,-0.25,-0.071,-0.072,0.04,-0.116,0.033,-0.032,-0.083,-0.004,-0.057,-0.102,0.016,-0.067,-0.131,0.128,-0.08,0.058,-0.069,-0.073,0.001,0.01,-0.056,0.04,0.046,-0.126,-0.044,Mahindra Manulife Low Duration Fund - Direct Plan - Monthly IDCW,-0.012,0.029,-0.088,0.025,0.022,-0.019,-0.05,0.021,0.015,-0.09,-0.071,0.109
Mahindra Manulife Low Duration Fund - Direct Plan - Weekly IDCW,Mahindra Manulife Low Duration Fund - Direct Plan - Weekly IDCW,0.259,0.651,0.455,0.611,0.627,0.155,0.098,-0.037,-0.005,0.015,-0.007,0.014,0.028,0.094,-0.14,0.056,-0.06,0.054,-0.006,0.041,0.003,0.125,0.039,-0.01,0.047,-0.097,-0.125,0.122,-0.046,0.147,-0.057,0.071,0.025,-0.038,0.044,0.044,0.01,0.04,-0.196,0.023,0.106,-0.055,0.118,-0.038,-0.038,-0.018,0.118,-0.177,0.075,0.058,0.092,-0.009,0.018,0.046,0.055,-0.071,0.009,0.021,0.046,-0.031,0.018,0.073,0.024,-0.07,0.174
Mahindra Manulife Low Duration Fund - Direct Plan -Growth,Mahindra Manulife Low Duration Fund - Direct Plan -Growth,0.262,0.651,0.455,0.614,0.628,0.662,0.602,0.441,0.512,0.468,0.394,0.47,0.51,0.752,0.236,0.398,0.641,0.697,0.549,0.394,0.621,0.804,0.745,0.714,0.655,0.939,0.361,0.927,0.449,0.924,0.715,0.493,0.832,0.577,0.446,0.597,0.56,0.524,0.247,1.032,0.981,0.577,0.394,0.376,0.59,0.44,0.319,0.073,0.279,0.45,0.371,0.366,0.258,0.422,0.445,0.195,0.234,0.351,0.294,0.234,0.35,0.387,0.123,-0.072,0.416
Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,0.239,0.113,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,-0.023,0.023,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,-0.05,-0.012,0.012,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,-0.036,0.036,0.037,-0.025,0.051,0.131,-0.016,-0.033,-0.064,0.133,0.064,-0.009,-0.018,0.053,-0.074,-0.289,0.365,0.263,0.079,-0.066,-0.033,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,-0.027,-0.177,-0.061,-0.006,-0.003,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,-0.077,-0.023,-0.026,-0.053,-0.017,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW,-0.023,-0.052,-0.021,-0.019,-0.139,-0.259,Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW
Mahindra Manulife Low Duration Fund - Regular Plan - Growth,Mahindra Manulife Low Duration Fund - Regular Plan - Growth,0.24,0.558,0.395,0.54,0.558,0.579,0.515,0.363,0.431,0.386,0.315,0.383,0.432,0.676,0.169,0.315,0.563,0.614,0.467,0.317,0.539,0.74,0.681,0.646,0.594,0.873,0.3,0.863,0.388,0.856,0.652,0.431,0.763,0.514,0.378,0.529,0.504,0.459,0.187,0.968,0.913,0.509,0.329,0.309,0.526,0.375,0.249,0.003,0.216,0.382,0.315,0.301,0.192,0.359,0.379,0.129,0.166,0.285,0.228,0.17,0.291,0.323,0.069,-0.138,0.349
Mahindra Manulife Low Duration Fund - Regular Plan - Monthly IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Monthly IDCW,0.24,0.558,0.395,0.54,0.558,0.579,0.514,0.362,0.431,0.386,0.314,0.383,0.432,0.676,0.169,0.315,0.563,0.614,0.467,0.317,0.539,0.74,-0.031,-0.115,0.058,0.141,-0.247,-0.06,-0.072,0.044,-0.113,0.035,-0.027,-0.081,-0.004,-0.051,-0.095,0.019,-0.056,-0.13,0.13,-0.074,0.058,-0.064,-0.071,0.001,0.018,-0.061,0.04,0.046,-0.109,-0.044,0.004,-0.01,0.03,-0.082,0.021,0.021,-0.011,-0.051,0.022,0.026,-0.081,-0.138,0.183
Mahindra Manulife Low Duration Fund - Regular Plan - Weekly IDCW,Mahindra Manulife Low Duration Fund - Regular Plan - Weekly IDCW,0.24,0.56,0.395,0.54,0.558,0.579,0.514,0.362,0.431,0.386,0.221,0.003,0.03,0.097,-0.144,0.081,-0.064,0.05,-0.016,0.043,-0.009,0.117,0.032,-0.026,0.045,-0.031,-0.175,0.118,-0.043,0.146,-0.064,0.069,0.018,-0.04,0.042,0.035,0.002,0.038,-0.195,0.037,0.102,-0.059,0.116,-0.042,-0.037,-0.019,0.111,-0.215,0.123,0.053,0.088,-0.011,0.014,0.044,0.05,-0.075,0.015,0.02,0.041,-0.033,0.02,0.07,0.017,-0.138,0.233
Mahindra Manulife Equity Savings Dhan Sanchay Yojana - Direct Plan -Growth,Mahindra Manulife Equity Savings Dhan Sanchay Yojana - Direct Plan -Growth,0.12,2.1,1.578,2.105,0.548,2.404,0.051,-1.087,2.825,-0.338,1.582,-0.447,-1.195,-0.918,1.253,-2.636,0.021,2.865,1.323,-2.333,-2.058,2.725,0.748,-0.25,-0.425,4.163,0.324,2.207,-0.283,-2.959,0.509,2.852,2.889,0.935,1.088,0.062,-0.989,-13.479,9.313,3.441,3.778,4.037,2.518,0.006,1.425,5.787,4.509,1.11,2.121,1.183,-0.523,3.652,1.704,1.456,2.746,1.908,2.786,-2.55,0.87,0.458,-2.838,3.553,-0.754,-1.906,-2.037
Mahindra Manulife Equity Savings Dhan Sanchay Yojana - Regular Plan - Growth,Mahindra Manulife Equity Savings Dhan Sanchay Yojana - Regular Plan - Growth,-0.016,1.901,1.415,1.917,0.369,2.219,-0.134,-1.262,2.637,-0.527,1.383,-0.641,-1.365,-1.099,1.061,-2.82,-0.147,2.682,1.146,-2.499,-2.239,2.563,0.603,-0.397,-0.561,4.037,0.192,2.062,-0.413,-3.098,0.379,2.725,2.75,0.811,0.967,-0.05,-1.091,-13.598,9.16,3.309,3.635,3.892,2.38,-0.129,1.298,5.656,4.37,0.975,1.997,1.041,-0.654,3.506,1.551,1.309,2.598,1.764,2.635,-2.69,0.715,0.305,-2.974,3.392,-0.895,-2.063,-2.191
