scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
HSBC Small Cap Equity Fund - IDCW,10.292,4.207,3.951,4.346,-1.669,2.235,2.983,-0.711,-0.202,9.642,1.802,7.677,-3.507,-3.064,-5.271,7.024,-15.078,-8.738,3.016,1.599,-14.725,1.593,1.301,1.397,-5.391,-0.726,10.696,-3.907,-4.485,-4.086,-11.913,-0.007,4.842,1.987,-2.816,0.852,8.398,-4.745,-29.197,10.664,8.288,7.283,4.887,8.692,5.594,0.472,13.263,5.776,1.981,9.981,1.9,2.011,5.79,8.544,7.731,-0.1,5.875,1.237,0.424,5.257,-3.269,-9.03,4.639,-3.171,-7.237,-7.266
HSBC Small Cap Equity Fund - IDCW Direct Plan,10.355,4.279,4.018,4.395,-1.612,2.292,3.041,-0.652,-0.148,9.722,1.872,7.746,-3.444,-3.002,-5.215,7.082,-13.798,-8.689,3.075,1.657,-14.676,1.659,1.36,1.454,-5.334,-0.669,10.767,-3.82,-2.92,-3.99,-11.815,0.098,4.951,2.103,-2.717,0.964,8.52,-4.65,-29.108,10.787,8.404,7.405,5.009,8.814,5.716,0.584,13.389,5.902,2.103,10.099,2.024,2.124,-0.561,8.671,7.852,0.016,5.998,1.358,0.541,5.381,-3.16,-8.933,4.767,-3.068,-14.061,-7.153
HSBC Infrastructure Equity Fund - Growth,11.139,2.998,4.363,6.829,-0.867,-0.004,2.488,-0.839,-0.732,8.495,-0.817,6.01,-2.575,-3.339,-7.459,6.593,-8.787,-11.135,2.22,-2.554,-15.866,-0.149,2.161,1.846,-9.679,1.498,13.392,-4.431,4.455,-4.408,-13.459,-4.682,5.212,3.675,-2.222,-0.192,2.986,-7.925,-27.397,14.717,6.871,7.995,0.995,9.361,-2.331,0.359,14.31,9.672,6.097,14.494,2.211,-3.945,6.713,6.37,5.164,1.062,4.103,-0.772,-0.752,3.282,0.194,-7.673,5.333,0.806,-3.102,-6.731
HSBC Infrastructure Equity Fund - Growth Direct,11.202,3.055,4.422,6.88,-0.81,0.052,2.545,-0.782,-0.678,8.569,-0.759,6.074,-2.516,-3.282,-7.411,6.65,-8.734,-11.086,2.279,-2.498,-15.821,-0.089,2.218,1.903,-9.626,1.546,13.46,-4.361,4.542,-4.318,-13.362,-4.581,5.319,3.793,-2.122,-0.082,3.1,-7.838,-27.312,14.839,6.978,8.112,1.104,9.478,-2.223,0.467,14.433,9.801,6.222,14.614,2.331,-3.842,6.828,6.492,5.28,1.179,4.223,-0.654,-0.638,3.402,0.307,-7.574,5.458,0.915,-2.991,-6.622
HSBC Infrastructure Equity Fund - IDCW,11.138,2.998,4.363,6.828,-0.867,-0.004,2.488,-0.839,-0.731,8.495,-0.817,6.011,-2.576,-3.339,-7.459,6.593,-8.787,-11.135,2.219,-2.555,-15.866,-0.149,2.161,1.846,-9.679,1.497,13.392,-4.43,4.455,-4.408,-13.458,-4.682,5.212,3.676,-2.223,-0.192,2.987,-7.925,-27.397,14.717,6.871,7.994,0.995,9.362,-2.332,0.358,14.31,9.672,6.097,14.494,2.211,-3.945,6.713,6.37,5.164,1.062,4.103,-0.772,-0.752,3.283,0.194,-7.673,5.334,0.806,-3.102,-6.731
HSBC Infrastructure Equity Fund - IDCW Direct Plan,11.203,3.055,4.421,6.884,-0.81,-0.011,2.545,-0.78,-0.678,8.569,-0.76,6.074,-2.516,-3.282,-7.411,6.65,-8.735,-11.086,2.278,-2.498,-15.821,-0.088,2.218,1.903,-9.626,1.546,13.46,-4.36,4.542,-4.327,-13.377,-4.597,5.303,3.776,-2.138,-0.099,3.084,-7.851,-27.326,14.82,6.963,8.094,1.088,9.46,-2.241,0.448,14.413,9.778,6.2,14.593,2.312,-3.858,6.809,6.469,5.258,1.156,4.2,-0.677,-0.661,3.379,0.285,-7.594,5.433,0.894,-3.012,-6.643
HSBC Tax Saver Equity Fund - Growth,9.042,4.438,4.171,3.228,0.991,0.299,3.137,-0.579,-1.404,5.553,0.068,4.654,0.178,-5.215,-3.655,4.822,-2.704,-3.796,5.563,2.203,-9.305,-2.259,3.479,1.39,-3.425,0.188,9.97,-2.597,3.304,-1.103,-8.591,1.009,5.319,3.785,2.515,0.406,2.58,-2.26,-27.935,15.094,3.601,6.476,5.553,5.1,-0.349,1.711,12.135,6.82,2.438,3.614,0.271,-1.597,6.287,3.197,3.044,4.956,3.65,2.526,-4.262,2.914,-0.003,-6.533,5.854,-3.388,-4.065,-4.326
HSBC Tax Saver Equity Fund - Growth Direct,9.104,4.5,4.231,3.278,1.049,0.355,3.195,-0.52,-1.351,5.614,0.127,4.717,0.238,-5.162,-3.603,4.878,-2.648,-3.744,5.624,2.262,-9.255,-2.199,3.538,1.447,-3.368,0.243,10.038,-2.528,3.386,-1.014,-8.491,1.112,5.424,3.899,2.616,0.512,2.689,-2.172,-27.859,15.209,3.7,6.586,5.663,5.206,-0.247,1.813,12.246,6.934,2.548,3.714,0.383,-1.499,6.392,3.303,3.147,5.064,3.757,2.635,-4.163,3.02,0.098,-6.445,5.967,-3.296,-3.968,-4.227
HSBC Tax Saver Equity Fund - IDCW,9.042,4.438,-2.591,3.228,0.991,0.299,3.137,-0.579,-1.404,5.552,0.069,4.654,-9.313,-5.215,-3.655,4.822,-2.704,-3.796,5.563,2.204,-9.305,-2.259,3.48,1.39,-11.681,0.188,9.97,-2.597,3.304,-1.104,-8.59,1.008,5.319,3.785,2.515,0.405,-5.775,-2.26,-27.935,15.094,3.601,6.476,5.553,5.101,-0.35,1.711,12.135,6.82,0.081,3.614,0.271,-1.597,6.287,3.197,3.044,4.956,3.65,2.526,-4.262,2.913,-3.615,-6.533,5.854,-3.388,-4.065,-4.326
HSBC Tax Saver Equity Fund - IDCW Direct Plan,9.104,4.5,-2.295,3.277,1.049,0.355,3.195,-0.52,-1.351,5.614,0.126,4.717,-8.845,-5.163,-3.602,4.878,-2.648,-3.744,5.624,2.262,-9.255,-2.2,3.538,1.447,-12.293,0.243,10.037,-2.528,3.386,-1.026,-8.509,1.093,5.405,3.879,2.598,0.493,-6.345,-2.187,-27.868,15.191,3.684,6.568,5.646,5.189,-0.262,1.797,12.229,6.916,-0.796,3.697,0.365,-1.515,6.376,3.287,3.131,5.048,3.74,2.618,-4.179,3.003,-3.652,-6.459,5.95,-3.31,-3.982,-4.242
