scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Navi Large & Midcap Fund - Direct Normal IDCW Payout,8.52,3.129,5.262,3.219,-1.235,1.391,1.612,-0.355,0.827,5.18,-0.622,6.008,-3.469,-3.432,-3.178,5.688,-1.632,-3.067,6.066,1.595,-9.3,-0.096,2.635,2.716,-1.942,1.869,7.137,-0.212,4.046,-1.16,-7.879,0.671,6.421,2.476,1.635,0.789,2.779,-2.289,-29.124,14.826,3.838,6.693,4.279,3.723,3.631,-0.101,10.56,5.785,1.927,8.604,2.15,0.515,4.361,3.603,3.823,4.438,4.047,3.662,-3.11,3.133,0.106,-5.901,5.137,-0.804,-4.506,-5.188
Navi Large & Midcap Fund - Regular Normal IDCW Payout,8.416,3.034,5.158,3.138,-1.341,1.295,1.513,-0.455,0.727,5.081,-0.719,5.902,-3.566,-3.521,-3.263,5.593,-1.728,-3.156,5.963,1.496,-9.383,-0.203,2.471,2.544,-2.117,1.705,6.542,-0.363,3.893,-1.3,-8.024,0.524,6.291,2.34,1.535,0.687,2.664,-2.397,-29.237,14.638,3.667,6.52,4.134,3.595,3.385,-0.225,10.409,5.617,1.76,8.417,1.957,0.338,4.191,3.44,3.662,4.249,3.918,3.468,-3.285,2.947,-0.069,-6.055,5.015,-0.969,-4.673,-5.302
Navi Large & Midcap Fund- Direct Plan- Growth Option,8.602,3.155,5.286,3.253,-1.194,1.443,1.659,-0.292,0.85,5.186,-0.617,6.014,-3.459,-3.415,-3.16,5.708,-1.611,-3.051,6.086,1.613,-9.284,-0.079,2.642,2.722,-1.936,1.875,6.739,-0.206,4.051,-1.154,-7.873,0.674,6.431,2.486,1.645,0.797,2.787,-2.284,-29.122,14.83,3.841,6.698,4.287,3.734,3.644,-0.086,10.575,5.8,1.928,8.606,2.15,0.516,4.361,3.605,3.822,4.439,4.048,3.666,-3.108,3.134,0.108,-5.9,5.138,-0.805,-4.504,-5.187
Navi Large & Midcap Fund- Regular Plan- Growth Option,8.417,3.037,5.158,3.143,-1.333,1.295,1.514,-0.459,0.727,5.082,-0.719,5.902,-3.567,-3.521,-3.264,5.592,-1.728,-3.157,5.963,1.497,-9.385,-0.203,2.472,2.546,-2.117,1.704,6.543,-0.363,3.894,-1.301,-8.024,0.524,6.292,2.341,1.536,0.687,2.664,-2.397,-29.241,14.637,3.667,6.519,4.135,3.596,3.384,-0.226,10.409,5.616,1.756,8.419,1.957,0.338,4.191,3.44,3.662,4.249,3.918,3.468,-3.285,2.947,-0.069,-6.054,5.015,-0.97,-4.673,-5.302
Navi ELSS Tax Saver Fund - Direct Plan IDCW Payout,8.102,2.573,3.663,3.028,1.487,0.715,1.636,0.034,-0.502,5.464,-1.874,4.848,-1.112,-5.815,-2.835,6.088,0.072,-1.33,5.336,1.644,-7.957,-0.875,3.795,0.892,-1.491,0.818,6.326,-0.27,2.83,-1.17,-8.213,0.299,8.282,2.728,1.154,0.715,2.015,-2.569,-28.692,15.06,4.753,7.877,3.742,4.035,1.812,0.59,10.857,5.924,1.316,5.614,-0.166,-1.152,5.131,2.908,1.816,4.97,2.799,4.915,-4.057,2.608,-0.97,-6.6,4.749,-2.039,-3.43,-5.007
Navi ELSS Tax Saver Fund - Regular Plan IDCW Payout,7.999,2.486,3.564,2.946,1.39,0.622,1.541,-0.067,-0.593,5.365,-1.97,4.743,-1.211,-5.907,-2.92,5.991,-0.026,-1.42,5.234,1.545,-8.04,-0.979,3.63,0.731,-1.659,0.663,6.142,-0.414,2.678,-1.309,-8.356,0.215,8.135,2.6,1.051,0.609,1.905,-2.657,-28.768,14.926,4.636,7.739,3.586,3.875,1.638,0.435,10.686,5.75,1.151,5.459,-0.328,-1.303,4.971,2.749,1.668,4.812,2.667,4.752,-4.202,2.452,-1.115,-6.728,4.572,-2.182,-3.59,-5.176
Navi ELSS Tax Saver Fund- Direct Plan- Growth Option,8.14,2.633,3.699,3.059,1.521,0.747,1.669,0.07,-0.47,5.499,-1.841,4.883,-1.087,-5.8,-2.814,6.11,0.095,-1.309,5.361,1.668,-7.937,-0.852,3.803,0.9,-1.484,0.825,6.342,-0.262,2.835,-1.165,-8.209,0.304,8.287,2.733,1.159,0.72,2.024,-2.564,-28.687,15.066,4.759,7.883,3.744,4.037,1.815,0.593,10.859,5.927,1.32,5.619,-0.16,-1.148,5.136,2.912,1.82,4.974,2.803,4.92,-4.053,2.611,-0.967,-6.597,4.752,-2.039,-3.428,-5.006
Navi ELSS Tax Saver Fund- Regular Plan- Growth Option,7.998,2.483,3.565,2.947,1.391,0.621,1.541,-0.066,-0.593,5.365,-1.97,4.742,-1.21,-5.908,-2.92,5.989,-0.026,-1.42,5.235,1.545,-8.042,-0.979,3.63,0.732,-1.66,0.66,6.145,-0.414,2.679,-1.309,-8.357,0.214,8.136,2.6,1.051,0.61,1.905,-2.657,-28.771,14.926,4.636,7.739,3.586,3.875,1.638,0.435,10.687,5.75,1.151,5.459,-0.328,-1.303,4.971,2.749,1.668,4.812,2.668,4.752,-4.202,2.453,-1.115,-6.728,4.572,-2.182,-3.59,-5.176
Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment
Navi Liquid Fund - Direct Plan Monthly IDCW - Payout,0.054,0.023,-0.078,-0.02,0.056,-0.094,0.018,0.068,0.508,0.037,0.015,-0.104,0.073,-0.016,0.027,-0.17,0.066,-0.1,0.064,0.595,0.019,0.068,0.613,0.048,0.05,-0.002,-0.08,0.03,0.562,0.016,0.046,0.44,0.022,0.025,-0.064,0.038,0.401,0.001,0.047,-0.038,-0.065,0.024,0.252,0.016,0.017,-0.026,0.006,0.034,-0.039,-0.001,0.022,0.232,0.018,0.019,-0.035,0.026,0.028,-0.045,0.026,0.319,0.02,0.006,0.037,-0.097,0.041,0.034
