scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Franklin India PRIMA FUND - IDCW ,7.853,3.347,4.857,3.28,-0.48,-9.827,3.201,-0.368,-0.557,4.091,1.637,5.055,-0.409,-3.162,-11.659,3.22,-2.334,-3.972,4.17,2.996,-10.254,-1.106,2.338,2.167,-1.792,-0.026,6.751,-2.632,2.642,-10.529,-7.148,-0.622,4.714,4.935,0.648,-0.077,2.872,-3.61,-27.868,14.73,4.508,-2.158,1.989,9.337,0.17,2.109,15.521,4.361,2.332,8.882,-0.509,-0.819,5.793,-3.739,3.345,2.683,2.964,1.973,-4.579,0.111,-1.681,-6.468,4.076,-0.502,-4.593,-13.381
Franklin India Prima Fund-Growth,7.853,3.347,4.857,3.28,-0.48,-1.01,3.201,-0.368,-0.557,4.091,1.637,5.055,-0.409,-3.162,-2.296,3.22,-2.334,-3.972,4.17,2.996,-10.254,-1.106,2.338,2.167,-1.792,-0.027,6.751,-2.632,2.642,-1.636,-7.149,-0.622,4.714,4.935,0.648,-0.077,2.872,-3.61,-27.867,14.73,4.508,7.398,1.989,9.337,0.171,2.108,15.521,4.361,2.332,8.882,-0.509,-0.819,5.793,4.876,3.345,2.683,2.964,1.973,-4.579,0.111,-1.681,-6.468,4.076,-0.501,-4.593,-4.173
Franklin India Smaller Companies Fund - Direct - Growth,7.583,2.332,5.701,2.93,0.304,0.138,1.864,1.14,0.383,5.341,3.414,4.107,-1.791,-2.118,-3.124,3.985,-4.092,-3.813,2.256,0.984,-10.198,-1.725,0.346,2.613,-2.416,-0.931,8.958,-2.739,2.279,-3.319,-10.53,-1.245,5.62,1.953,-0.406,1.768,4.043,-4.757,-30.68,12.123,2.056,8.413,5.196,10.937,4.241,-0.037,15.439,8.224,2.3,11.04,0.325,0.887,6.993,5.747,7.616,0.241,4.763,2.239,-0.45,2.715,-2.114,-6.26,6.072,-0.251,-6.732,-4.17
Franklin India Smaller Companies Fund - Direct - IDCW ,7.582,-5.385,5.701,2.93,0.304,0.138,1.864,1.139,0.384,5.341,3.414,4.107,-1.791,-10.496,-3.123,3.985,-4.092,-3.813,2.256,0.983,-10.198,-1.725,0.346,2.613,-2.416,-0.931,1.399,-2.739,2.279,-3.319,-10.53,-1.245,5.62,1.953,-0.406,1.768,4.043,-4.757,-30.681,12.123,2.056,8.413,5.195,10.937,4.241,-0.037,15.439,8.223,2.3,6.36,0.325,0.888,6.993,5.747,7.615,0.241,4.763,2.239,-0.45,2.715,-2.114,-13.427,6.072,-0.251,-6.732,-4.17
Franklin India Smaller Companies Fund - IDCW ,7.468,-5.867,5.583,2.835,0.195,0.04,1.763,1.034,0.29,5.234,3.301,3.992,-1.895,-11.157,-3.213,3.893,-4.186,-3.904,2.154,0.892,-10.27,-1.814,0.263,2.519,-2.516,-1.023,0.615,-2.83,2.192,-3.39,-10.602,-1.318,5.547,1.871,-0.475,1.695,3.967,-4.81,-30.732,12.041,1.983,8.335,5.126,10.863,4.17,-0.103,15.365,8.149,2.228,5.712,0.253,0.82,6.921,5.674,7.544,0.172,4.692,2.166,-0.519,2.645,-2.18,-14.481,5.997,-0.315,-6.794,-4.233
Franklin India Smaller Companies Fund-Growth,7.468,2.237,5.584,2.835,0.196,0.04,1.763,1.034,0.29,5.233,3.301,3.992,-1.895,-2.21,-3.213,3.893,-4.186,-3.905,2.154,0.892,-10.27,-1.814,0.263,2.518,-2.515,-1.023,8.84,-2.83,2.192,-3.39,-10.602,-1.319,5.546,1.871,-0.475,1.694,3.968,-4.81,-30.733,12.04,1.983,8.335,5.126,10.862,4.17,-0.103,15.364,8.149,2.228,10.968,0.254,0.82,6.921,5.674,7.544,0.172,4.692,2.166,-0.519,2.645,-2.18,-6.318,5.997,-0.315,-6.794,-4.233
Templeton India Equity Income Fund - Direct - Growth,6.733,2.849,2.692,2.185,0.848,-0.672,5.271,1.086,-0.053,3.574,-0.207,3.185,2.907,-3.632,-2.668,4.357,-1.18,-3.223,3.669,1.395,-6.597,-4.815,2.657,-0.651,1.143,1.527,4.821,-0.051,-0.185,-0.81,-5.031,-0.428,2.935,3.195,-0.465,1.185,0.084,-4.91,-22.872,13.106,7.875,5.82,5.533,6.534,1.226,2.433,11.486,9.006,1.08,8.649,2.19,1.24,5.463,7.224,1.004,1.397,4.362,2.237,-1.151,1.912,0.981,-2.617,3.53,-0.119,0.004,-4.783
Templeton India EQUITY INCOME FUND - Direct - IDCW ,6.728,2.845,-1.658,2.182,0.844,-0.676,5.267,1.082,-4.009,3.57,-0.211,3.18,2.903,-3.636,-6.46,4.354,-1.184,-3.225,3.666,1.392,-10.831,-4.818,2.653,-0.654,1.14,1.524,-0.281,-0.055,-0.188,-0.813,-5.034,-0.43,-1.626,3.192,-0.468,1.183,0.081,-4.912,-22.874,13.103,7.874,0.657,5.531,6.531,-3.774,2.431,11.483,9.003,1.077,8.646,-1.872,1.236,5.459,7.22,1.001,1.393,0.348,2.234,-1.154,1.909,0.979,-2.619,-0.374,-0.122,Templeton India EQUITY INCOME FUND - Direct - IDCW ,-4.786
Templeton India EQUITY INCOME FUND - IDCW ,6.671,2.793,-1.839,2.129,0.793,-0.725,5.208,1.023,-4.196,3.51,-0.264,3.133,2.85,-3.684,-6.655,4.302,-1.237,-3.28,3.609,1.338,-11.06,-4.861,2.614,-0.697,1.095,1.486,-0.576,-0.099,-0.232,-0.856,-5.082,-0.478,-1.916,3.122,-0.531,1.111,0.008,-4.989,-22.951,12.995,7.773,0.222,5.432,6.44,-4.212,2.352,11.405,8.926,1.01,8.582,-2.258,1.184,5.405,7.162,0.948,1.339,-0.055,2.174,-1.208,1.858,0.929,-2.663,-0.792,-0.172,-0.053,-4.839
Templeton India Equity Income Fund-Growth Plan,6.672,2.792,2.627,2.129,0.793,-0.725,5.208,1.024,-0.114,3.511,-0.264,3.133,2.85,-3.684,-2.726,4.302,-1.237,-3.28,3.609,1.338,-6.648,-4.861,2.614,-0.697,1.095,1.486,4.764,-0.1,-0.232,-0.856,-5.082,-0.478,2.886,3.122,-0.531,1.111,0.008,-4.989,-22.951,12.995,7.773,5.71,5.432,6.44,1.137,2.352,11.405,8.926,1.01,8.582,2.122,1.184,5.405,7.163,0.948,1.339,4.302,2.174,-1.208,1.858,0.929,-2.663,3.474,-0.172,-0.053,-4.839
