scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Mirae Asset China Advantage Fund - Direct Plan - Dividend,7.032,1.958,0.116,0.993,4.749,2.162,6.32,2.845,-0.006,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend,Mirae Asset China Advantage Fund - Direct Plan - Dividend
Mirae Asset China Advantage Fund - Direct Plan - Growth,7.114,1.949,0.133,1.008,4.759,2.175,6.316,2.859,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth,Mirae Asset China Advantage Fund - Direct Plan - Growth
Mirae Asset China Advantage Fund - Regular Plan Growth Option,7.039,1.877,0.076,0.959,4.695,2.12,6.263,2.798,-0.035,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option,Mirae Asset China Advantage Fund - Regular Plan Growth Option
Mirae Asset China Advatage Fund-Regular Plan Dividend,7.039,1.877,0.076,0.959,4.695,2.12,6.263,2.798,-0.035,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend,Mirae Asset China Advatage Fund-Regular Plan Dividend
Mirae Asset Large Cap Fund - Direct Plan - Growth,7.578,2.826,3.22,2.091,3.297,-0.011,5.15,0.186,-1.481,6.21,-2.037,3.858,3.242,-5.68,-4.044,4.609,-1.03,-0.409,6.084,4.102,-5.712,-2.872,3.914,0.308,-0.252,-0.17,7.154,0.356,2.2,-0.948,-6.502,0.607,4.298,6.045,1.431,0.962,-1.157,-3.108,-25.509,18.114,5.373,6.2,6.544,6.208,-0.264,1.001,10.59,6.48,2.707,3.808,0.326,-1.269,6.155,3.143,1.627,6.178,2.219,2.542,-4.158,1.768,-1.006,-5.421,5.675,-2.493,-2.403,-3.816
Mirae Asset Large Cap Fund - Growth Plan,7.511,2.772,3.149,2.037,3.233,-0.064,5.093,0.134,-1.532,6.148,-2.092,3.787,3.177,-5.722,-4.096,4.54,-1.107,-0.469,6.016,4.036,-5.769,-2.949,3.815,0.212,-0.348,-0.258,7.06,0.265,2.106,-1.033,-6.58,0.521,4.211,5.948,1.346,0.871,-1.247,-3.181,-25.58,18.009,5.282,6.106,6.45,6.119,-0.351,0.911,10.494,6.378,2.613,3.72,0.232,-1.355,6.064,3.051,1.541,6.084,2.127,2.45,-4.243,1.678,-1.088,-5.496,5.586,-2.566,-2.482,-3.897
Mirae Asset Large Cap Fund Direct IDCW,7.578,2.825,3.226,2.096,3.296,-0.009,5.15,0.184,-1.481,6.207,-2.027,3.857,3.243,-5.68,-9.374,4.609,-1.03,-0.41,6.082,4.103,-5.709,-2.873,3.916,-4.73,-0.248,-0.171,7.155,0.353,2.198,-0.948,-6.502,0.609,4.296,6.046,1.431,0.962,-1.158,-3.108,-25.509,18.113,5.374,6.199,6.544,6.209,-0.262,1.003,10.59,6.479,2.706,3.809,-7.499,-1.268,6.156,3.144,1.626,6.178,2.218,2.543,-4.159,1.769,-1.006,-5.421,5.674,-2.493,-2.402,-3.816
Mirae Asset Large Cap Fund Regular IDCW,7.512,2.773,3.155,2.035,3.231,-0.065,-3.451,0.129,-1.53,6.151,-2.095,3.789,3.169,-5.723,-13.687,4.539,-1.11,-0.468,6.013,4.04,-5.77,-2.951,3.818,-8.538,-0.35,-0.258,7.061,0.263,2.112,-1.032,-6.582,0.523,4.209,5.949,1.343,-7.002,-1.249,-3.182,-25.577,18.006,5.287,6.103,6.452,6.118,-0.351,0.91,10.497,6.377,2.61,3.722,-7.552,-1.354,6.064,3.053,1.539,6.086,2.128,2.448,-4.243,1.679,-1.088,-5.497,5.586,-2.567,-2.479,-3.898
Mirae Asset Emerging Bluechip Fund - Direct Plan - Growth,8.214,5.071,4.47,4.281,1.918,-0.135,3.486,-0.254,-0.525,6.33,0.184,4.84,-1.118,-4.917,-4.238,5.161,-2.949,-2.364,5.672,5.066,-8.513,0.218,3.119,1.297,-1.371,0.208,7.895,-0.394,3.005,-1.303,-6.464,1.435,4.087,6.722,2.09,1.589,0.81,-2.099,-25.923,18.763,4.441,7.791,5.549,7.283,0.27,1.769,11.75,6.091,4.098,6.115,1.314,0.429,6.077,3.742,3.758,4.57,1.877,3.105,-3.652,1.799,-0.93,-6.16,4.615,-1.993,-3.29,-3.808
Mirae Asset Emerging Bluechip Fund - Regular Plan - Growth Option,8.147,5.001,4.404,4.225,1.856,-0.198,3.42,-0.318,-0.58,6.261,0.121,4.765,-1.186,-4.927,-4.292,5.096,-2.982,-2.395,5.618,5.018,-8.541,0.169,3.008,1.175,-1.482,0.206,7.76,-0.492,2.901,-1.393,-6.515,1.354,4.001,6.628,1.998,1.505,0.727,-2.159,-25.946,18.646,4.36,7.688,5.456,7.194,0.187,1.684,11.651,5.99,4.006,6.026,1.224,0.345,5.992,3.655,3.677,4.482,1.791,3.018,-3.733,1.714,-1.008,-6.23,4.532,-2.063,-3.367,-3.889
