scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
L&T Large and Midcap Fund- Direct Plan -IDCW,7.906,3.83,4.379,2.714,-3.36,-0.091,1.337,0.21,-2.122,6.467,-1.782,4.253,0.431,-3.486,-4.51,6.157,-5.202,-4.288,3.385,3.776,-10.116,-3.423,1.519,-0.928,-3.724,-1.139,6.981,-2.046,1.734,-2.074,-8.644,-0.538,5.233,4.141,0.309,0.395,1.688,-3.329,-26.015,16.444,3.819,2.557,6.2,5.615,1.15,-0.349,7.839,5.786,-0.527,1.523,1.633,-0.696,3.696,3.064,3.968,2.38,1.196,1.362,-1.355,3.039,-3.868,-6.276,5.809,-3.657,-5.207,-6.453
L&T Large and Midcap Fund-Direct Plan-Growth,7.909,3.83,4.377,2.715,3.066,0.4,1.822,0.695,-1.65,6.965,-1.334,4.717,0.867,-3.04,-4.05,6.796,-4.598,-3.67,4.059,4.425,-9.511,-2.709,2.243,-0.219,-3.017,-0.393,7.745,-1.209,2.491,-1.333,-7.91,0.256,5.968,4.879,1.009,1.086,2.362,-2.674,-26.014,17.25,4.526,3.215,6.848,6.219,1.792,0.248,8.491,6.393,0.062,2.12,2.245,-0.071,4.324,3.662,4.558,2.957,1.726,1.901,-0.807,3.614,-3.313,-5.69,6.423,-3.092,-4.594,-5.825
L&T Large and Midcap Fund-Regular Plan-Growth,7.841,3.771,4.315,2.662,3.001,0.34,1.756,0.627,-1.711,6.898,-1.411,4.643,0.795,-3.104,-4.114,6.73,-4.664,-3.726,3.99,4.362,-9.567,-2.767,2.183,-0.279,-3.09,-0.467,7.657,-1.283,2.422,-1.396,-7.973,0.17,5.904,4.807,0.946,1.017,2.297,-2.724,-26.059,17.178,4.455,3.14,6.768,6.142,1.715,0.178,8.417,6.318,-0.007,2.054,2.17,-0.143,4.249,3.584,4.48,2.877,1.649,1.824,-0.883,3.535,-3.386,-5.757,6.34,-3.164,-4.67,-5.902
L&T Large and Midcap Fund-Regular Plan-IDCW,7.846,3.771,4.312,2.66,-3.647,-0.408,1.017,-0.12,-2.438,6.132,-2.103,3.923,0.113,-3.798,-4.836,5.91,-5.442,-4.53,3.116,3.516,-10.353,-3.706,1.239,-1.217,-4.021,-1.453,6.646,-2.13,1.663,-2.141,-8.712,-0.624,5.163,4.075,0.251,0.327,1.623,-3.378,-26.818,16.386,3.758,2.492,6.134,5.549,1.082,-0.417,7.762,5.707,-0.599,1.447,1.554,-0.782,3.609,2.969,3.881,2.322,1.141,1.302,-1.415,2.974,-3.926,-6.332,5.741,-3.715,-5.268,-6.515
L&T Mid Cap Fund-Direct Plan -IDCW,7.789,4.051,4.44,5.708,0.73,1.51,3.727,-7.148,-0.244,6.887,-0.55,4.383,-0.803,-3.754,-3.308,5.536,-4.545,-3.649,4.341,-5.035,-10.329,-0.939,2.589,1.101,-4.044,-0.695,7.486,-3.081,2.184,-1.446,-9.006,-8.944,6.499,5.744,0.194,1.02,4.736,-2.417,-27.634,15.751,4.549,5.623,4.842,1.882,3.945,-0.673,10.939,4.887,-0.603,8.893,2.421,0.338,3.225,4.93,4.234,-5.225,3.256,0.667,-3.829,1.689,-1.676,-5.166,5.428,-0.616,-4.026,-3.637
L&T Mid Cap Fund-Direct Plan-Growth,7.799,4.057,4.434,5.693,0.73,1.511,3.716,0.881,-0.263,6.882,-0.535,4.367,-0.802,-3.756,-3.308,5.528,-4.542,-3.656,4.352,2.855,-10.323,-0.929,2.583,1.107,-4.064,-0.694,7.488,-3.068,2.175,-1.44,-9.008,-0.228,6.492,5.757,0.192,1.021,4.748,-2.404,-27.634,15.733,4.54,5.614,4.851,6.811,3.955,-0.68,10.92,4.886,-0.601,8.91,2.418,0.342,3.224,4.925,4.236,1.053,3.261,0.658,-3.822,1.685,-1.675,-5.168,5.433,-0.612,-4.029,-3.63
L&T Mid Cap Fund-Regular Plan-Growth,7.738,3.994,4.349,5.641,0.668,1.429,3.635,0.81,-0.324,6.794,-0.611,4.293,-0.881,-3.818,-3.372,5.462,-4.612,-3.719,4.283,2.781,-10.383,-1.004,2.497,1.017,-4.163,-0.784,7.366,-3.151,2.087,-1.52,-9.099,-0.325,6.396,5.652,0.098,0.917,4.632,-2.492,-27.718,15.623,4.448,5.509,4.751,6.723,3.862,-0.773,10.827,4.789,-0.69,8.813,2.321,0.249,3.13,4.829,4.137,0.956,3.165,0.557,-3.908,1.59,-1.764,-5.246,5.337,-0.701,-4.116,-3.719
L&T Mid Cap Fund-Regular Plan-IDCW,7.721,4.001,4.366,5.63,0.674,1.443,3.63,-7.518,-0.319,6.799,-0.615,4.291,-0.88,-3.822,-3.372,5.468,-4.621,-3.716,4.271,-5.55,-10.374,-1.019,2.501,1.002,-4.156,-0.788,7.375,-3.145,2.089,-1.521,-9.102,-8.993,6.402,5.659,0.104,0.912,4.624,-2.5,-27.72,15.626,4.464,5.495,4.774,2.727,3.861,-0.774,10.802,4.792,-0.695,8.826,2.323,0.243,3.146,4.809,4.141,-5.385,3.145,0.563,-3.899,1.578,-1.756,-5.25,5.342,-0.692,-4.125,-3.71
L&T Emerging Businesses Fund - Direct Plan - Growth,9.433,4.941,4.948,5.636,3.158,0.668,3.56,1.042,-0.343,8.575,0.641,6.282,-1.645,-1.267,-3.911,5.012,-5.423,-5.019,4.667,2.54,-11.517,0.172,1.009,1.819,-5.075,0.438,6.321,-3.842,1.241,-2.309,-9.804,0.335,4.847,3.583,-1.008,0.834,2.985,-4.985,-30.866,12.279,4.859,9.166,2.773,10.451,4.78,-1.423,14.763,6.024,0.83,11.465,2.803,5.365,5.835,8.483,6.823,-0.953,6.674,1.664,0.531,6.641,-1.383,-8.322,6.954,-0.9,-4.724,-4.112
L&T Emerging Businesses Fund - Direct Plan - IDCW,9.437,4.943,4.943,5.639,3.161,0.67,3.563,1.043,-0.341,-0.345,0.646,6.282,-1.647,-1.264,-3.914,5.015,-5.424,-5.018,4.67,2.535,-11.515,-7.645,1.01,1.823,-5.076,0.435,6.321,-3.841,1.241,-2.311,-9.802,0.332,4.845,-2.085,-1.006,0.835,2.985,-4.989,-30.861,12.274,4.863,9.169,2.774,10.455,4.781,-1.421,14.758,6.023,0.834,11.465,2.806,5.363,5.84,8.478,6.824,-0.954,6.674,-3.434,0.532,6.642,-1.383,-8.32,6.953,-0.902,-4.722,-4.113
