scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
LIC MF Banking and Financial Services Fund-Regular Plan-Growth,10.696,2.213,4.076,8.676,-2.507,-2.943,6.224,-5.586,-4.334,17.18,-3.169,-0.027,-2.133,-10.51,-4.499,5.417,-1.691,-2.527,3.639,4.331,-14.761,-0.599,5.539,2.795,-1.187,-1.3,10.208,0.041,6.415,-1.017,-8.489,0.052,7.433,2.425,4.335,1.85,-2.022,-3.124,-33.918,17.378,2.714,6.264,-1.052,9.555,-4.019,5.272,17.761,3.904,2.844,4.738,-3.527,-1.618,7.421,-1.317,0.574,5.225,0.355,6.112,-7.706,-2.572,4.365,-7.59,5.537,-3.112,-1.486,-4.139
LIC MF Banking and Financial Services Fund-Regular Plan-IDCW,10.696,2.215,4.075,8.676,-2.506,-2.942,6.224,-5.586,-4.337,17.18,-3.17,-0.027,-2.133,-10.508,-4.498,5.418,-1.69,-2.527,3.638,4.331,-14.761,-0.601,5.539,2.794,-1.187,-1.299,10.205,0.041,6.415,-1.017,-8.488,0.051,7.433,2.425,4.335,1.851,-2.022,-3.125,-33.919,17.377,2.713,6.263,-1.053,9.555,-4.018,5.271,17.76,3.904,2.844,4.737,-3.528,-1.617,7.421,-1.318,0.574,5.225,0.355,6.112,-7.706,-2.572,4.365,-7.589,5.536,-3.112,-1.484,-4.139
LIC MF Infrastructure Fund-Direct Plan-Growth,8.652,1.149,5.261,4.189,2.301,-1.36,4.866,-0.666,-2.998,10.035,-0.624,5.277,-0.596,-3.54,-4.089,2.81,-4.037,-5.827,4.223,3.517,-8.218,-0.745,2.912,1.938,-3.189,0.077,10.562,-0.47,4.44,-0.519,-9.273,-0.355,6.665,3.646,2.997,0.555,0.544,-4.687,-29.334,14.757,4.931,5.377,2.437,6.657,-2.912,3.3,13.256,3.803,4.56,9.939,0.347,-2.463,8.905,1.854,5.303,5.099,1.911,4.714,-1.48,1.006,1.768,-4.477,6.343,-2.082,-1.059,-4.683
LIC MF Infrastructure Fund-Direct Plan-IDCW,8.647,1.144,5.257,4.185,2.296,-1.365,4.86,-0.673,-3.005,10.027,-0.631,5.27,-0.604,-3.546,-4.094,2.802,-4.051,-5.845,4.197,3.488,-8.242,-0.771,2.884,1.913,-3.212,0.057,10.547,-0.487,4.422,-0.536,-9.291,-0.373,6.648,3.627,2.979,0.536,0.524,-4.701,-29.347,14.738,4.914,5.359,2.419,6.639,-2.928,3.282,13.236,3.783,4.541,9.922,0.332,-2.478,8.889,1.839,5.288,5.084,1.896,4.699,-1.493,0.993,1.754,-4.489,6.328,-2.095,-1.073,-4.698
LIC MF Infrastructure Fund-Regular Plan-Growth,8.596,1.087,5.151,4.098,2.194,-1.461,4.76,-0.776,-3.095,9.92,-0.73,5.161,-0.706,-3.637,-4.182,2.705,-4.156,-5.948,4.094,3.386,-8.325,-0.862,2.812,1.858,-3.263,0.005,10.454,-0.558,4.348,-0.604,-9.36,-0.444,6.574,3.546,3.527,0.454,0.441,-4.772,-29.41,14.637,4.824,5.261,2.327,6.547,-3.017,3.288,13.138,3.69,4.445,9.829,0.235,-2.566,8.79,1.742,5.192,4.989,1.806,4.603,-1.579,0.902,1.667,-4.566,6.233,-2.176,-1.16,-4.771
LIC MF Infrastructure Fund-Regular Plan-IDCW,8.596,1.087,5.151,4.098,2.193,-1.46,4.759,-0.776,-3.094,9.92,-0.73,5.161,-0.706,-3.637,-4.181,2.706,-4.156,-5.948,4.094,3.386,-8.325,-0.862,2.812,1.858,-3.263,0.007,10.451,-0.558,4.348,-0.604,-9.36,-0.444,6.573,3.546,3.527,0.454,0.441,-4.773,-29.409,14.636,4.824,5.261,2.327,6.548,-3.017,3.288,13.138,3.69,4.445,9.83,0.235,-2.566,8.79,1.743,5.192,4.989,1.807,4.603,-1.58,0.902,1.667,-4.566,6.233,-2.176,-1.16,-4.771
LIC MF Tax Plan-Direct Plan-Growth,7.292,1.395,3.68,2.347,2.853,-0.633,4.394,-0.471,-1.938,5.977,0.07,5.465,0.006,-1.816,-3.183,6.451,-3.439,-2.38,4.54,4.782,-8.678,-1.296,4.521,1.965,-3.122,-1.137,6.366,-0.292,3.052,-0.466,-6.374,2.89,7.051,2.916,1.353,1.848,1.542,-2.291,-27.001,11.27,3.451,4.721,4.434,6.554,1.152,1.487,11.108,6.833,-0.315,3.015,0.627,-0.13,5.022,3.873,1.934,7.032,2.274,2.267,-3.293,1.62,-1.038,-4.255,5.038,-3.253,-3.34,-4.496
LIC MF Tax Plan-Direct Plan-IDCW,7.27,-4.417,3.672,2.347,2.845,-2.023,4.387,-0.478,-3.292,5.969,0.062,4.145,-0.014,-1.831,-6.989,6.443,-3.445,-3.85,4.533,4.777,-10.05,-1.302,4.514,0.442,-3.127,-1.987,5.489,-0.296,3.048,-1.786,-6.377,2.887,7.048,2.912,1.35,0.581,1.538,-2.293,-27.004,11.264,3.449,4.718,4.431,6.551,-0.26,1.485,11.105,5.593,-0.317,3.012,-0.531,-0.131,5.02,2.787,1.932,7.03,1.319,2.265,-3.295,0.65,-1.039,-4.257,4.015,-3.254,-3.342,-5.537
LIC MF Tax Plan-Regular Plan-Growth,7.177,1.291,3.571,2.256,2.744,-0.735,4.288,-0.575,-2.036,5.868,-0.037,5.346,-0.115,-1.913,-3.266,6.369,-3.528,-2.477,4.43,4.671,-8.768,-1.396,4.439,1.876,-3.214,-1.223,6.264,-0.379,2.963,-0.549,-6.461,2.8,6.974,2.833,1.33,1.754,1.433,-2.379,-27.082,11.156,3.351,4.611,4.327,6.448,1.049,1.388,10.999,6.722,-0.42,2.915,0.52,-0.232,4.915,3.765,1.832,6.92,2.166,2.156,-3.393,1.515,-1.135,-4.343,4.931,-3.344,-3.434,-4.577
LIC MF Tax Plan-Regular Plan-IDCW,7.184,-4.694,3.571,2.256,2.742,-2.171,4.288,-0.58,-3.439,5.869,-0.038,3.978,-0.116,-1.913,-7.251,6.368,-3.528,-4.019,4.429,4.671,-10.214,-1.395,4.439,0.264,-3.214,-2.122,5.333,-0.378,2.963,-1.958,-6.461,2.8,5.471,2.833,1.33,0.376,1.433,-2.378,-27.081,11.156,3.351,2.854,4.327,6.448,-0.532,1.388,10.999,5.327,-0.42,2.915,-0.79,-0.23,4.916,2.532,1.831,6.92,1.077,2.156,-3.393,0.405,-1.136,-4.343,3.756,-3.344,-3.434,-5.202
